frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
34,1.126129944,215.6223602,341.7215271,8,0.142857143,215.8634338,341.4903137,0,0.761369978,2.273087565,-2.273087565,6.4,2.91519978,-9.663297402,10.09344869,16.90746269,0
35,1.159251412,216.6928711,339.3744202,8,0.142857143,216.6978699,339.3584106,0,0.880575126,2.577645147,-2.577645147,6.8,3.145027072,-9.593045852,10.09543085,7.246055437,0
36,1.192372881,217.7173004,337.1784973,6,0.142857143,217.5229248,337.1418274,0,0.998440116,2.894299898,-2.894299898,6.8,3.093913975,-9.665140169,10.14826282,-4.830703625,0
37,1.22549435,218.5517883,334.9607544,6,0.142857143,218.2041351,334.7836914,0,1.095755877,3.231176467,-3.231176467,6,2.721353835,-10.06295675,10.42443597,-19.3228145,0
38,1.258615819,219.030304,332.473938,6,0.142857143,218.7113281,332.3859436,0,1.168212019,3.573711868,-3.573711868,4.8,2.300923867,-10.52567033,10.77422788,-31.39957356,0
39,1.291737288,219.0284119,329.9308472,4,0.142857143,219.0181671,329.8248169,0,1.21204616,3.939587112,-3.939587112,3.2,2.081750403,-10.76422444,10.96367696,-41.06098081,0
40,1.324858757,219.2288361,327.3856812,2,0.142857143,219.3652191,327.1565125,0,1.261625017,4.320773461,-4.320773461,1.6,2.172991071,-10.65690168,10.87618699,-45.89168443,0
41,1.357980226,219.2514954,324.3728638,-2,0.142857143,219.9361969,324.663385,0,1.343193272,4.676934524,-4.676934524,0,2.558311059,-10.29598782,10.60906785,-50.72238806,0
42,1.391101695,220.2870483,321.6192322,-2,0.142857143,220.7231781,322.4296631,0,1.455619158,4.996037656,-4.996037656,-1.6,3.288736588,-9.507999513,10.06070788,-48.30703625,0
43,1.424223164,221.8851929,320.0083008,-2,0.142857143,221.6770538,320.4503052,0,1.59188712,5.278803072,-5.278803072,-3.6,4.047896122,-8.376472013,9.303265362,-43.47633262,0
44,1.457344633,222.9633179,318.7622375,-4,0.142857143,222.8306396,318.802655,0,1.756685093,5.514181664,-5.514181664,-4.8,4.446399792,-7.190493374,8.454209961,-33.81492537,0
45,1.490466102,223.9982147,317.4888916,-8,0.142857143,224.0577484,317.4460754,0,1.931986346,5.707978748,-5.707978748,-5.6,4.52016313,-6.022310601,7.529946859,-19.3228145,0
46,1.523587571,225.0194244,316.134613,-8,0.142857143,225.0906921,316.3277954,0,2.079549735,5.867733038,-5.867733038,-5.6,4.323179215,-4.883638429,6.522254428,2.415351812,0
47,1.55670904,226.4225922,314.8363342,-6,0.142857143,225.9631836,315.448291,0,2.204191371,5.993376523,-5.993376523,-4.8,3.810397654,-3.941852768,5.482456888,21.73816631,0
48,1.589830508,227.0499115,314.4169006,-2,0.142857143,226.6887054,314.7889404,0,2.30783735,6.087569464,-6.087569464,-3.2,3.130026947,-3.336845974,4.575107621,36.23027719,0
49,1.622951977,227.3257751,314.3647156,0,0.142857143,227.2478485,314.2330566,0,2.387714931,6.166981434,-6.166981434,-1.2,2.664399166,-3.251873346,4.204010368,41.06098081,0
50,1.656073446,227.625824,314.1921387,0,0.142857143,227.6862366,313.577832,0,2.450341797,6.260584949,-6.260584949,0.4,2.484587208,-3.77160214,4.51643181,38.645629,0
51,1.689194915,227.8151398,313.3551941,2,0.142857143,228.1794006,312.5580566,0,2.520793806,6.406267148,-6.406267148,1.2,2.57537245,-4.678775367,5.340737982,36.23027719,0
52,1.722316384,228.6145325,311.5602112,2,0.142857143,228.8434448,311.0760559,0,2.615657261,6.617981538,-6.617981538,1.6,2.921667893,-5.761569574,6.460017587,31.39957356,0
