frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,y_mm_abs_2,angle_deg_raw,angle_deg_raw2,angle_deg,mm_per_px,x_mm,y_mm,y_mm_origin,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
470,3.9003165,119.4558595,265.2492907,26.96355468,-59.87202119,59.87202119,0.147518612,-0.147518612,7.352481388,0.225719816,0.009577225,0.007363791,-0.007363791,7.31663901,0.174710701,-0.078328551,0.1914659,-3.180434452
471,3.9034883,119.4596222,265.2510815,26.964404,-59.87242542,59.87242542,0.147600265,-0.147600265,7.352399735,0.225719816,0.01042654,0.007768021,-0.007768021,7.308853238,0.191813091,-0.083388568,0.209155242,-2.813685392
472,3.9162884,119.4630921,265.2512546,26.9651872,-59.87246448,59.87246448,0.329506702,-0.329506702,7.170493298,0.225719816,0.011209746,0.007807082,-0.007807082,7.270918063,0.126516711,-0.046978373,0.1349572,-2.604037293
473,3.9194579,119.4656876,265.2522591,26.96577306,-59.87269123,59.87269123,0.183997883,-0.183997883,7.316002117,0.225719816,0.011795605,0.008033833,-0.008033833,7.263331028,0.115350847,-0.041502044,0.122589712,-1.825247599
474,3.9322829,119.4680244,265.2520067,26.96630054,-59.87263426,59.87263426,0.336786225,-0.336786225,7.163213775,0.225719816,0.012323085,0.007976862,-0.007976862,7.261813621,0.077680892,-0.027486345,0.082400364,0.160138844
475,3.9485634,119.4695986,265.2527218,26.96665586,-59.87279567,59.87279567,0.185453787,-0.185453787,7.314546213,0.225719816,0.012678399,0.008138274,-0.008138274,7.310532966,0.069390474,-0.017933056,0.071670304,1.994090931
476,3.9516984,119.4707016,265.2535186,26.96690484,-59.87297551,59.87297551,0.1551873,-0.1551873,7.3448127,0.225719816,0.012927383,0.008318117,-0.008318117,7.320276836,0.038461188,-0.005530296,0.038856752,3.054548392
477,3.964211,119.4717957,265.2510399,26.96715178,-59.87241602,59.87241602,0.085909973,-0.085909973,7.414090027,0.225719816,0.013174325,0.007758619,-0.007758619,7.358603631,-0.048002156,0.001226507,0.048017822,2.737434916
478,3.9679664,119.4722981,265.2511984,26.96726518,-59.8724518,59.8724518,0.135278537,-0.135278537,7.364721463,0.225719816,0.013287723,0.007794399,-0.007794399,7.36626899,-0.236734782,0.017041846,0.237347386,1.743291723
479,3.9801663,119.4511548,265.2491323,26.96249273,-59.87198544,59.87198544,0.14515225,-0.14515225,7.35484775,0.225719816,0.008515273,0.007328043,-0.007328043,7.367802061,-0.287841112,0.03088816,0.289493669,-4.267506209
480,3.9834207,119.4378639,265.2481351,26.9594927,-59.87176036,59.87176036,0.147126992,-0.147126992,7.352873008,0.225719816,0.005515242,0.007102962,-0.007102962,7.319085849,-0.521537769,0.060745429,0.525063474,-5.197422833
481,3.9964361,119.427709,265.247451,26.95720055,-59.87160593,59.87160593,0.147521941,-0.147521941,7.352478059,0.225719816,0.003223088,0.006948531,-0.006948531,7.309342606,-0.595542153,0.070343776,0.599682168,-5.423433493
482,3.9999639,119.4097551,265.2444189,26.95314799,-59.87092153,59.87092153,0.329491037,-0.329491037,7.170508963,0.225719816,-0.000829464,0.006264134,-0.006264134,7.307393958,-0.66166117,0.07536328,0.665939282,-0.444153794
483,4.0123368,119.3911274,265.2423105,26.94894336,-59.87044562,59.87044562,0.18399475,-0.18399475,7.31600525,0.225719816,-0.005034095,0.005788222,-0.005788222,7.307004228,-0.486912901,0.061178596,0.49074127,-0.202023669
484,4.0158474,119.3799016,265.2413256,26.94640947,-59.87022331,59.87022331,0.154895492,-0.154895492,7.345104508,0.225719816,-0.007567985,0.005565918,-0.005565918,7.306926282,-0.608805605,0.073660903,0.613245622,0.956002722
485,4.028293,119.3772496,265.2414227,26.94581087,-59.87024523,59.87024523,0.149075641,-0.149075641,7.350924359,0.225719816,-0.008166585,0.005587836,-0.005587836,7.343288714,-0.417010689,0.038693438,0.418801978,1.759697135
486,4.0313492,119.3666131,265.240417,26.94341,-59.87001823,59.87001823,0.147911671,-0.147911671,7.352088329,0.225719816,-0.010567457,0.005360832,-0.005360832,7.3505612,-0.484408999,0.044608914,0.486458666,1.80457717
487,4.0442853,119.3557371,265.2393187,26.94095507,-59.86977032,59.86977032,0.147678876,-0.147678876,7.352321124,0.225719816,-0.013022383,0.005112927,-0.005112927,7.352015698,-0.366411395,0.034688571,0.368049735,0.861824776
488,4.0473981,119.3464035,265.2383804,26.93884828,-59.86955852,59.86955852,0.147632318,-0.147632318,7.352367682,0.225719816,-0.01512918,0.004901128,-0.004901128,7.352306597,-0.292451089,0.024845156,0.29350455,0.397007356
489,4.0602928,119.3388744,265.2375965,26.93714882,-59.86938158,59.86938158,0.147623006,-0.147623006,7.352376994,0.225719816,-0.016828633,0.004724186,-0.004724186,7.365009583,-0.074083094,0.012291952,0.075095918,0.609437062
490,4.0636815,119.3437041,265.2383618,26.93823898,-59.86955433,59.86955433,0.147621144,-0.147621144,7.352378856,0.225719816,-0.015738474,0.004896936,-0.004896936,7.36755018,0.221239533,-0.020563393,0.222193123,0.590602161
491,4.0774338,119.3623638,265.2376605,26.94245084,-59.86939603,59.86939603,0.084396742,-0.084396742,7.415603258,0.225719816,-0.011526618,0.004738637,-0.004738637,7.3680583,0.345327237,-0.034043249,0.347001216,0.271900143
492,4.0809349,119.3823237,265.2399113,26.94695619,-59.86990409,59.86990409,0.134975891,-0.134975891,7.365024109,0.225719816,-0.007021263,0.005246692,-0.005246692,7.368159923,0.573458697,-0.069251169,0.577624966,0.022586523
493,4.0923192,119.3794802,265.239879,26.94631436,-59.86989678,59.86989678,0.14509172,-0.14509172,7.35490828,0.225719816,-0.007663096,0.005239382,-0.005239382,7.368180248,0.565186777,-0.067833238,0.569242866,-1.359509484
494,4.0953953,119.393229,265.242091,26.94941772,-59.87039608,59.87039608,0.147114886,-0.147114886,7.352885114,0.225719816,-0.004559734,0.005738687,-0.005738687,7.355539507,0.715552486,-0.103033275,0.722932373,-1.434171187
495,4.1083629,119.4093348,265.2446124,26.95305312,-59.87096521,59.87096521,0.14751952,-0.14751952,7.35248048,0.225719816,-0.000924337,0.006307816,-0.006307816,7.353011359,0.503827365,-0.081109414,0.510314365,2.563796946
496,4.1115521,119.4242846,265.2469365,26.95642759,-59.8714898,59.8714898,0.147600446,-0.147600446,7.352399554,0.225719816,0.002450137,0.006832406,-0.006832406,7.391268013,0.530644064,0.055144457,0.533501672,3.189265772
497,4.1244171,119.4372918,265.2489595,26.95936357,-59.87194643,59.87194643,0.147616632,-0.147616632,7.352383368,0.225719816,0.005386113,0.007289031,-0.007289031,7.362541322,0.321345477,0.096342556,0.33547698,-1.256081629
498,4.1275302,119.4383635,265.2395546,26.95960547,-59.86982357,59.86982357,-0.046191548,0.046191548,7.546191548,0.225719816,0.005628016,0.005166173,-0.005166173,7.320417963,0.220347908,0.11552659,0.24879629,-5.47099328
499,4.1405103,119.4361995,265.2370432,26.95911703,-59.86925669,59.86925669,0.290748339,-0.290748339,7.209251661,0.225719816,0.005139571,0.004599294,-0.004599294,7.311993291,0.032703576,0.140044376,0.143812207,-8.925666687
500,4.1435319,119.4331923,265.2363467,26.95843825,-59.86909947,59.86909947,0.358136316,-0.358136316,7.141863684,0.225719816,0.004460789,0.004442075,-0.004442075,7.273930335,-0.040756904,0.142408795,0.148126264,-5.616303484
