frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
26,0.8611581920903955,212.4025421142578,357.03515625,2.0,0.14285714285714285,212.3530731201172,356.7933715820312,0,0.2598898751395069,-0.08693644205730067,2.0,1.6749595453853139,-2.0547643935139037,2.6509519406299953,21.73816631130064,0
27,0.8942796610169492,213.1097412109375,356.804931640625,4.0,0.14285714285714285,212.8347595214844,356.1106689453125,0,0.3287022181919639,-0.18446539015997132,2.8,1.8090287560919858,-3.629603764896845,4.055441841590269,19.322814498933894,0
28,0.9274011299435029,213.43411254882812,355.7108459472656,4.0,0.14285714285714285,213.2710968017578,354.88312377929685,0,0.3910361153738826,-0.35982898530506446,3.6,1.702945913964904,-5.470844091484577,5.729760890231064,14.492110874200417,0
29,0.9605225988700565,213.54844665527344,353.9194030761719,4.0,0.14285714285714285,213.59531860351564,353.0117492675781,0,0.4373535156249986,-0.6271682012648867,3.6,1.5444468753569556,-7.288628624257503,7.450464641426445,12.07675906183368,0
30,0.9936440677966102,213.8606414794922,350.9452819824219,4.0,0.14285714285714285,213.8492919921875,350.7748168945312,0,0.47363542829240757,-0.946729968843016,3.6,1.48673403946465,-8.804151952292116,8.928800014736133,12.07675906183368,0
31,1.0267655367231638,214.02365112304688,347.67828369140625,2.0,0.14285714285714285,214.1434753417969,348.3440185546875,0,0.5156616210937486,-1.2939868745349727,4.0,1.598969091484543,-9.741504441678728,9.871859548371285,12.076759061833693,0
32,1.0598870056497176,214.37960815429688,345.6202697753906,4.0,0.14285714285714285,214.55825805664062,345.904443359375,0,0.5749162946428541,-1.6424976167224727,4.8,1.956534372144376,-9.938685796146803,10.129437403129188,16.907462686567158,0
33,1.0930084745762711,214.905029296875,343.5568542480469,6.0,0.14285714285714285,215.12470397949218,343.59027099609375,0,0.6558371407645076,-1.9730936686197964,5.6,2.4572563382862405,-9.848084830947249,10.150018894050454,19.322814498933887,0
34,1.126129943502825,215.6223602294922,341.7215270996094,8.0,0.14285714285714285,215.86343383789062,341.4903137207031,0,0.7613699776785694,-2.27308756510417,6.4,2.9151997803552367,-9.663297402099847,10.093448689165308,16.90746268656715,0
35,1.1592514124293787,216.69287109375,339.3744201660156,8.0,0.14285714285714285,216.69786987304687,339.35841064453126,0,0.8805751255580319,-2.5776451474144366,6.8,3.145027071871188,-9.59304585173621,10.09543084748323,7.246055437100226,0
