frame,t_s,x_px_filt,y_px_filt,x_mm,y_mm,angle_deg_raw,mm_per_px,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
50,1.666666667,417.903595,393.0336914,0.050515069,-0.099995931,-3.406440735,0.138888889,-3.439198303,-0.049136353,0.041529338,0.113474528,0.120835237
51,1.7,417.9185791,393.0263062,0.052596198,-0.101021661,-3.447387695,0.138888889,-3.439198303,-0.208886719,0.03519694,-0.216089884,0.218937577
52,1.733333333,417.9282532,392.7532043,0.053939819,-0.138952467,-3.447387695,0.138888889,-3.439198303,-0.27036438,0.031255086,-0.382792155,0.384066029
53,1.766666667,417.932373,392.5881042,0.054512024,-0.161883036,-3.447387695,0.138888889,-3.465823364,-0.380978394,0.047734578,-0.493087769,0.495392912
54,1.8,417.9338989,392.5129089,0.054723952,-0.17232683,-3.447387695,0.138888889,-3.484259033,-0.380978394,0.076980591,-0.27305603,0.283699854
55,1.833333333,417.9608765,392.4419861,0.058470832,-0.182177226,-3.53956604,0.138888889,-3.502694702,-0.380978394,0.092035929,0.101954142,0.137350862
56,1.866666667,418.0109558,392.6986389,0.065426297,-0.146530999,-3.53956604,0.138888889,-3.502694702,-0.110614014,0.061060588,0.363260905,0.368357001
57,1.9,418.0386963,392.8755493,0.069279141,-0.12196011,-3.53956604,0.138888889,-3.502694702,-0.65526123,0.039825439,0.471293132,0.472972813
58,1.933333333,418.0056458,393.0240173,0.064688789,-0.101339552,-3.447387695,0.138888889,-3.484259033,-8.208654785,0.005238851,0.542704264,0.54272955
59,1.966666667,417.9816895,393.0784607,0.061361525,-0.093777974,-3.447387695,0.138888889,-3.593469238,-21.9894928,-0.419794718,-0.181808472,0.457473416
60,2,417.9671631,393.0932312,0.059343974,-0.091726515,-3.447387695,0.138888889,-4.870803833,-35.96251831,-2.93065389,-1.162160238,3.152673253
61,2.033333333,417.5072021,392.4804688,-0.00453949,-0.176832411,-4.085617065,0.138888889,-7.167610168,-50.17056885,-5.664672852,-2.086385091,6.036681312
62,2.066666667,414.5219116,391.480957,-0.419163174,-0.315653483,-9.926239014,0.138888889,-9.496447754,-63.35582886,-7.159220378,-2.505238851,7.584896711
63,2.1,411.2080383,390.5203552,-0.879423353,-0.449070401,-14.93141937,0.138888889,-11.84602051,-62.70095215,-7.782440186,-2.631937663,8.215441017
64,2.133333333,409.390625,390.0721741,-1.131841871,-0.511317783,-15.09157562,0.138888889,-14.15277405,-55.34147644,-7.566121419,-2.027893066,7.833169449
65,2.166666667,408.6282349,389.934906,-1.23772939,-0.530382792,-15.19525146,0.138888889,-15.32096252,-55.13661804,-5.217107137,-1.079966227,5.327713762
66,2.2,408.4278564,390.0469971,-1.265559726,-0.514814589,-15.61938477,0.138888889,-16.39118958,-60.17164764,-3.948109945,-0.13923645,3.95056438
67,2.233333333,408.2613831,390.1849976,-1.28868103,-0.495647854,-15.7671814,0.138888889,-18.68588409,-65.73256989,-5.264205933,0.207061768,5.268276633
68,2.266666667,406.4703064,390.3532715,-1.537441678,-0.472276476,-20.28255463,0.138888889,-21.87462845,-78.70809631,-7.347488403,0.417073568,7.359316286
69,2.3,403.0735779,390.3206482,-2.009209527,-0.476807488,-26.56504822,0.138888889,-25.10820236,-88.37575378,-8.817723592,0.534871419,8.833930993
70,2.333333333,399.8112488,390.4353943,-2.462310791,-0.460870531,-31.13897324,0.138888889,-28.43897858,-84.26289825,-9.427897135,0.441614787,9.43823437
71,2.366666667,397.8465881,390.6888428,-2.735180325,-0.425669352,-31.78725433,0.138888889,-31.12048187,-70.40887756,-8.493728638,0.522562663,8.509788359
72,2.4,396.9479065,390.7149353,-2.85999722,-0.42204539,-32.42106247,0.138888889,-32.72970047,-56.52394867,-6.031239827,0.760701497,6.079022999
73,2.433333333,396.277832,390.9803467,-2.953063117,-0.385182699,-33.69007111,0.138888889,-33.60944138,-42.04682007,-3.590977987,0.920054118,3.706969447
74,2.466666667,395.8360901,391.23349,-3.014416165,-0.350023905,-34.6111412,0.138888889,-34.52886047,-30.56384125,-2.230097453,0.89436849,2.402754595
75,2.5,395.5020752,391.5394592,-3.060807122,-0.307528178,-35.53767776,0.138888889,-35.44678192,-25.55139771,-1.749140422,1.1328125,2.083928112
76,2.533333333,395.1704712,391.762085,-3.106863234,-0.276607937,-36.38434982,0.138888889,-36.21445541,-24.99468842,-1.333516439,1.03670756,1.689091075
77,2.566666667,394.848938,392.0743103,-3.151520623,-0.233243306,-37.01066971,0.138888889,-36.98826675,-23.93804626,-1.317214966,0.883255005,1.585936528
78,2.6,394.6776123,392.2243958,-3.175315857,-0.212398105,-37.52843857,0.138888889,-37.77522278,-23.22862244,-1.447372437,0.577875773,1.558469563
79,2.633333333,394.2554321,392.293396,-3.233951992,-0.202814738,-38.48019791,0.138888889,-38.51853485,-24.7489563,-1.591237386,0.490875244,1.665231192
80,2.666666667,393.7652283,392.2329102,-3.302035862,-0.211215549,-39.47245789,0.138888889,-39.31821899,-27.92985077,-1.792984009,0.37979126,1.832766504
81,2.7,393.2609863,392.3511353,-3.372069465,-0.194795397,-40.10091019,0.138888889,-40.33928146,-29.84116516,-2.303085327,0.499623617,2.356655635
82,2.733333333,392.6973572,392.5300598,-3.450351291,-0.169944763,-41.00909042,0.138888889,-41.64324188,-32.15307312,-2.722447713,0.471776326,2.763022702
83,2.766666667,391.9139099,392.8239441,-3.559163411,-0.129127502,-42.63375092,0.138888889,-42.74875031,-33.71832275,-2.92098999,0.997721354,3.086685994
84,2.8,390.9884949,392.8595276,-3.687693278,-0.12418535,-45,0.138888889,-43.87738037,-32.61340942,-2.90145874,1.234639486,3.153220176
85,2.833333333,390.2600403,393.4301758,-3.788867527,-0.044928657,-45,0.138888889,-44.93793945,-27.37320099,-2.755432129,1.321385701,3.055890441
86,2.866666667,389.7792358,393.8327026,-3.855645921,0.010977851,-45.74406052,0.138888889,-45.7748497,-23.33344574,-2.367579142,1.2206014,2.663700203
