frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
805,6.679591000000073,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,,,,
806,6.684180300000662,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,,,,
807,6.696334800000841,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,,,,
808,6.711614100000588,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
809,6.716135800000302,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
810,6.7280793000009,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
811,6.732533400000648,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
812,6.74486110000089,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
813,6.749873700000535,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
814,6.7602418000005855,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
815,6.765571500000078,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
816,6.77651810000043,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
817,6.7806271000008564,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
820,6.80814940000073,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
822,6.824478900000031,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
824,6.840192300000126,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
826,6.8580056000000695,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
828,6.8722224000002825,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
830,6.888564700000643,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
832,6.904259100000672,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
834,6.920200800000202,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
835,6.924735300000066,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
838,6.956667600000401,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
840,6.972517700000026,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
842,6.9882894000002125,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
845,7.016477900000609,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
847,7.032090000000608,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
849,7.0481697000004715,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
851,7.06422830000065,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
854,7.08471980000013,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
855,7.096360900000036,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
858,7.117257600000812,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
859,7.12814200000048,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
861,7.144195000000764,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
863,7.160309700000653,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
865,7.180145200000879,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
867,7.1968213000000105,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
869,7.212970900000073,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
871,7.230115800000021,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
873,7.244544600000154,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
876,7.2720162000005075,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
878,7.288217400000576,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
881,7.311011900000267,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
883,7.324778700000024,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
885,7.340547000000697,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
887,7.356659400000353,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
888,7.369355900000301,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
890,7.3852105000005395,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
892,7.404948100000183,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
894,7.421382400000766,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
896,7.436652700000195,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
898,7.453917000000729,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
900,7.470470000000205,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
902,7.484616500000811,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
905,7.512055099999998,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
907,7.527941300000748,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
909,7.544054900000447,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
911,7.559923200000412,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
913,7.576077000000623,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
915,7.592219600000135,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
917,7.607920900000863,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
918,7.624034900000879,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
920,7.639960000000428,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
923,7.66168480000033,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
925,7.6762804000009055,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
927,7.692445000000589,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
929,7.7086942000005365,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
931,7.724741200000608,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
934,7.75262450000082,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
936,7.76799420000043,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
938,7.784244300000864,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
940,7.800134600000092,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
943,7.8204186000002665,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
944,7.832206500000211,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
946,7.848091100000602,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
947,7.863993500000106,320.0,240.0,32.0,24.0,,0.1,0.0,-0.0,,0.0,0.0,0.0,
