frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
699,5.7916394,164.0116073,171.4682243,53.42667851,55.85566684,-0.06637753,-9.06637753,0.325749375,0.006966709,0.005407512,-8.819815675,0.392601676,0.094871539,0.403901825,-1.3708713
700,5.8041259,164.0189808,171.4703352,53.42908042,55.85635446,0.189794562,-8.810205438,0.325749375,0.009368621,0.004719888,-8.871010254,0.330252969,0.008419269,0.33036027,0.531301994
701,5.8072453,164.0252988,171.47401,53.43113851,55.85755154,0.241028981,-8.758971019,0.325749375,0.01142671,0.003522808,-8.862424707,0.183645093,0.065559697,0.194996395,3.570003414
702,5.8200945,164.0305633,171.4777783,53.43285342,55.85877906,0.251275865,-8.748724135,0.325749375,0.013141618,0.002295289,-8.805649004,0.042878843,-0.043134284,0.060820734,4.280180752
703,5.8231583,164.02285,171.4742572,53.43034083,55.85763206,0.072154587,-8.927845413,0.325749375,0.010629027,0.003442293,-8.759830973,0.0238523,-0.022387219,0.032712685,5.673571181
704,5.8360834,164.0247898,171.4764668,53.43097271,55.85835184,0.217500986,-8.782499014,0.325749375,0.011260912,0.002722509,-8.716204476,-0.105900789,0.05905534,0.121253908,5.685910334
705,5.8391268,164.0256982,171.4760122,53.43126862,55.85820373,0.418884719,-8.581115281,0.325749375,0.011556815,0.002870619,-8.707479176,-0.338391972,-0.02272031,0.339153857,5.300176567
706,5.8526233,164.0261542,171.4750402,53.43141715,55.85788711,0.459161465,-8.540838535,0.325749375,0.011705349,0.003187239,-8.669499986,-0.166085538,-0.1164588,0.202847376,1.780358897
707,5.8556739,164.0165178,171.4797639,53.42827811,55.85942587,0.294902361,-8.705097639,0.325749375,0.008566307,0.001648483,-8.661904148,-0.092441117,-0.169193196,0.192799631,-1.591658108
708,5.8681316,164.0181027,171.483371,53.42879439,55.86060087,0.262050541,-8.737949459,0.325749375,0.009082586,0.000473478,-8.694847871,-0.092178094,-0.191334961,0.212381422,-2.289724358
709,5.8711759,164.0220008,171.4863556,53.4300642,55.8615731,0.255480176,-8.744519824,0.325749375,0.010352395,-0.000498752,-8.735899506,3.180592862,-21.05501057,21.29388742,-6.415578906
710,5.8843467,164.0259851,171.4888641,53.43136209,55.86239026,0.254166104,-8.745833896,0.325749375,0.011650286,-0.001315907,-8.744109833,3.435064767,-21.60921936,21.88054002,-7.091740979
711,5.8875294,164.185974,172.5078667,53.48347835,56.1943297,0.253903289,-8.746096711,0.325749375,0.063766553,-0.333255344,-8.800810492,2.901828897,-19.46925869,19.68432485,-6.713766669
712,5.9002588,164.1954841,172.6358625,53.48657628,56.23602427,0.253850726,-8.746149274,0.325749375,0.066864479,-0.37494992,-8.812150624,2.722820338,-18.72735214,18.92425609,-4.831076304
713,5.9032645,164.1712656,172.5380054,53.47868711,56.20414737,-0.021452755,-9.021452755,0.325749375,0.058975308,-0.343073017,-8.81441865,2.129057384,-16.04875802,16.18936439,-5.344088057
714,5.9168995,164.1512606,172.3961018,53.4721705,56.15792237,0.198779517,-8.801220483,0.325749375,0.052458698,-0.296848022,-8.869930849,-1.299046447,5.558650776,5.708425363,-0.07934299
715,5.9203816,164.1205788,172.2536008,53.46217593,56.11150275,0.242825972,-8.757174028,0.325749375,0.042464125,-0.250428399,-8.881033289,-1.887126686,8.583096029,8.78810472,1.339307573
716,5.932594,164.0918741,172.1133079,53.45282539,56.06580242,-0.023657706,-9.023657706,0.325749375,0.033113591,-0.204728068,-8.777124627,-1.513075808,7.058199071,7.21855751,2.116756505
717,5.9359446,164.0641329,171.9914541,53.44378871,56.02610863,0.198338527,-8.801661473,0.325749375,0.024076911,-0.165034275,-8.756342894,-1.88885233,8.399862727,8.609614217,4.680493642
718,5.9482725,164.0355797,171.878639,53.43448753,55.98935917,0.498090557,-8.501909443,0.325749375,0.014775727,-0.128284817,-8.717723657,-1.355553646,5.741002122,5.898866929,4.841123634
719,5.9513075,164.0136213,171.7845516,53.42733459,55.95871025,0.30268818,-8.69731182,0.325749375,0.007622793,-0.0976359,-8.691175347,-1.202018159,5.266712519,5.402139244,2.437105556
720,5.9642722,164.005511,171.7830939,53.42469267,55.95823542,0.435922157,-8.564077843,0.325749375,0.004980869,-0.097161072,-8.722099815,-0.609961423,4.515572318,4.556582744,0.441626949
721,5.9805767,164.0056121,171.7144884,53.42472558,55.93588722,0.109083846,-8.890916154,0.325749375,0.005013778,-0.074812864,-8.779355266,-0.45735119,4.292948043,4.317241366,-0.776663464
722,5.9836101,164.0080635,171.6391438,53.42552412,55.91134376,0.043716183,-8.956283817,0.325749375,0.005812322,-0.050269411,-8.790806356,-0.209102094,3.263874474,3.270565742,-3.007013063
723,5.9960318,164.0083902,171.5679166,53.42563056,55.88814155,0.211813305,-8.788186695,0.325749375,0.00591876,-0.027067195,-8.827559465,-0.162515287,3.436778611,3.440618903,-1.993077342
724,5.999089,163.9979205,171.5214309,53.42222004,55.87299886,0.245432729,-8.754567271,0.325749375,0.00250824,-0.011924509,-8.834910086,-0.334110931,3.898499416,3.912790285,-3.220836033
725,6.0120394,163.9990796,171.4856052,53.42259762,55.86132867,0.252156614,-8.747843386,0.325749375,0.002885819,-0.000254317,-8.80014608,-0.380880477,2.44816539,2.47761654,-2.555671573
726,6.0150736,163.9911067,171.4513345,53.42000047,55.85016499,0.072330737,-8.927669263,0.325749375,0.000288666,0.010909358,-8.829427409,-0.24501871,2.59366285,2.605210385,-2.041837578
727,6.0281113,163.9922835,171.4177386,53.42038381,55.83922115,0.217536216,-8.782463784,0.325749375,0.000672008,0.021853207,-8.835283675,-0.053887382,1.632675344,1.633564393,-1.009761993
728,6.0311175,163.9986316,171.3937871,53.42245171,55.83141896,0.065406657,-8.934593343,0.325749375,0.002739905,0.029655393,-8.836454928,0.030598373,1.471391916,1.471710036,-1.076361965
729,6.0441798,163.9922193,171.387845,53.42036287,55.82948332,0.2161514,-8.7838486,0.325749375,0.000651074,0.031591028,-8.800455048,0.171378088,0.713856784,0.734140285,1.938964126
730,6.0472418,163.9964641,171.3869545,53.42174563,55.82919327,0.246300348,-8.753699652,0.325749375,0.002033826,0.031881086,-8.793255072,-0.214253421,0.377898842,0.434410018,-0.297035908
731,6.060536,163.9902583,171.3913782,53.41972409,55.83063428,0.252330138,-8.747669862,0.325749375,1.23E-05,0.03044007,-8.721118055,-0.411647962,-0.167860028,0.444557121,0.214376064
732,6.0640299,163.9698928,171.400392,53.41309003,55.83357052,0.253536096,-8.746463904,0.325749375,-0.006621767,0.027503834,-8.761749246,-0.164335299,-0.191003886,0.251969393,-3.637759042
733,6.0761809,163.958736,171.4053692,53.40945573,55.83519182,0.426091741,-8.573908259,0.325749375,-0.010256072,0.025882533,-8.735412593,-0.212581053,-0.224786626,0.309386055,-4.787862962
734,6.0791977,163.968707,171.4050685,53.41270377,55.83509388,0.012995448,-8.987004552,0.325749375,-0.007008033,0.025980475,-8.785203857,-0.179972484,-0.274665381,0.328376562,-8.830894752
735,6.0927872,163.9774825,171.4081633,53.4155624,55.83610202,0.377983611,-8.622016389,0.325749375,-0.004149403,0.024972331,-8.83139624,0.184293885,-0.11622955,0.217884245,-5.238021844
736,6.0957422,163.9775822,171.411409,53.41559485,55.83715929,0.003373822,-8.996626178,0.325749375,-0.004116952,0.023915067,-8.875097607,0.410661101,-0.263400848,0.487875544,-6.74512058
737,6.1084934,163.9745515,171.4132961,53.41460761,55.83777402,0.022574178,-8.977425822,0.325749375,-0.005104191,0.023300328,-8.794316396,0.171559153,-0.314310617,0.35808338,-2.619774288
738,6.1119037,163.9832695,171.4223968,53.41744751,55.84073855,0.207584904,-8.792415096,0.325749375,-0.002264294,0.020335802,-8.812623045,0.291448459,-0.494997128,0.574425244,0.887881666
739,6.1243725,163.9787199,171.4308975,53.41596547,55.84350766,0.416901502,-8.583098498,0.325749375,-0.003746329,0.01756669,-8.761225781,0.34300612,-0.473358069,0.584569123,4.816554174
740,6.1276622,163.986898,171.4407703,53.41862948,55.84672373,0.286450369,-8.713549631,0.325749375,-0.001082322,0.01435062,-8.714712197,0.536253588,-0.623058201,0.822051965,-0.799473712
741,6.140099,163.9971594,171.4502995,53.42197212,55.84982787,0.260360142,-8.739639858,0.325749375,0.002260316,0.011246484,-8.654338924,0.329090951,-0.470010937,0.573769235,0.577360211
742,6.1436606,164.0068773,171.4590104,53.42513772,55.85266543,0.255142097,-8.744857903,0.325749375,0.005425917,0.008408919,-8.731785754,0.508275695,-0.409178176,0.652511274,-0.013920806
743,6.1561751,163.9990757,171.4630078,53.42259637,55.85396756,0.509451271,-8.490548729,0.325749375,0.002884569,0.00710679,-8.712812229,0.372184324,-0.22162984,0.433175434,-3.689177895
744,6.1594305,164.0068414,171.4621875,53.42512602,55.85370036,0.029667354,-8.970332646,0.325749375,0.005414224,0.007373995,-8.709017524,0.424542281,-0.262012615,0.498885517,-7.682901617
745,6.1722457,164.0119299,171.4637563,53.42678361,55.85421138,0.381317992,-8.618682008,0.325749375,0.007071812,0.006862971,-8.763317177,0.29396295,-0.096394188,0.309363953,-2.622121163
746,6.1763432,164.0186037,171.4694356,53.42895758,55.85606143,0.279333667,-8.720666333,0.325749375,0.00924578,0.005012922,-8.825247664,0.254842665,-0.109746092,0.277468896,-3.248278062
747,6.1883334,164.0272873,171.4682805,53.43178628,55.85568516,-0.016356167,-9.016356167,0.325749375,0.012074479,0.005389189,-8.782575168,0.117247823,-0.225189513,0.253884557,-3.754758657
748,6.2043915,164.0076344,171.4767007,53.42538434,55.85842803,0.199798835,-8.800201165,0.325749375,0.005672537,0.002646319,-8.808503559,0.121452595,-0.241893509,0.270671761,-1.994977796
749,6.2081857,164.008672,171.4824679,53.42572236,55.86030668,0.243029835,-8.756970165,0.325749375,0.006010563,0.000767672,-8.813689237,0.141817482,-0.229340829,0.269646832,1.743214968
750,6.2200279,164.0141385,171.4869538,53.42750307,55.86176796,0.251676035,-8.748323965,0.325749375,0.007791266,-0.000693613,-8.759667779,0.121069042,-0.250049817,0.277817609,1.594646737
751,6.2230486,164.0200027,171.4905586,53.42941331,55.86294224,0.253405275,-8.746594725,0.325749375,0.009701509,-0.001867889,-8.748863487,0.291555625,-0.261332973,0.391534935,2.370983487
752,6.2360537,164.0252796,171.4934397,53.43113226,55.86388074,0.253751123,-8.746248877,0.325749375,0.011420462,-0.002806386,-8.712239739,0.278315098,-0.151857392,0.317048831,2.667298855
753,6.2392847,164.0297803,171.4956934,53.43259836,55.8646149,0.253820293,-8.746179707,0.325749375,0.012886558,-0.00354055,-8.704914989,0.051602359,-0.180727583,0.187950161,1.772678686
754,6.2520413,164.0306766,171.4936476,53.43289033,55.86394848,0.42614858,-8.57385142,0.325749375,0.013178524,-0.002874128,-8.703450039,-0.069356787,-0.110265551,0.13026456,1.058249745
755,6.2553454,164.020704,171.4963634,53.42964175,55.86483314,0.288299784,-8.711700216,0.325749375,0.009929952,-0.003758792,-8.703157049,-0.290133506,-0.154361336,0.328640949,-1.720979761
756,6.2680668,164.0217814,171.4977862,53.42999272,55.86529662,0.260730025,-8.739269975,0.325749375,0.010280915,-0.004222272,-8.703098451,-0.37111395,-0.112609563,0.38782274,-2.281007928
757,6.2711761,164.0125063,171.5005795,53.42697138,55.86620654,0.255216073,-8.744783927,0.325749375,0.007259583,-0.005132186,-8.737549622,-0.0710694,-0.088990511,0.113886657,-2.380300589
758,6.2841005,164.0144448,171.5013122,53.42760283,55.8664452,0.254113283,-8.745886717,0.325749375,0.007891031,-0.005370848,-8.744439856,0.156411397,-0.032910079,0.159836161,-2.402464477
759,6.2877115,164.0313288,171.499424,53.43310278,55.86583011,0.253892725,-8.746107275,0.325749375,0.013390981,-0.004755763,-8.745817903,0.206575914,-0.021293576,0.207670471,-2.406834833
760,6.3001573,164.0372206,171.4989405,53.43502204,55.86567262,0.253848613,-8.746151387,0.325749375,0.015310243,-0.004598263,-8.746093512,0.344346775,0.02841431,0.345517112,-0.191000146
761,6.3033536,164.0399524,171.498728,53.43591193,55.86560342,0.253839791,-8.746160209,0.325749375,0.016200128,-0.004529065,-8.746148634,0.323497505,0.032927315,0.325168947,-0.084518671
762,6.316063,164.0289166,171.5004488,53.43231703,55.86616394,0.253838027,-8.746161973,0.325749375,0.012605224,-0.005089591,-8.746159658,-0.034905023,-0.008307596,0.035880033,-0.00820045
