frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
1664,13.801937199999884,186.98679556176947,347.928025214288,0.2255777601795815,0.0,0.0,-8.940992755280329,-7.103872235278112,-68.51098091718079,0.840249898274749,0.0009239830158875081,0.8402504063047752
1665,13.80591209999966,187.01050838532728,347.9282341191025,0.2255777601795815,0.005349085625705625,4.712428014232999e-05,-8.844031592739576,-7.559670845265121,-100.03335053529543,1.1280230608186876,-0.038959893826739866,1.1286956627301052
1666,13.81824570000026,187.0288129036009,347.9276869531703,0.2255777601795815,0.009478177859035873,-7.630418529724418e-05,-8.871795778474478,-7.835360847127393,-84.75917230147704,0.9693009767723382,-0.03596331394347716,0.9699679085008978
1667,13.822813800000404,187.06331131916195,347.9252826391715,0.2255777601795815,0.017260253171041087,-0.000618663951913892,-8.927066675226147,-8.58031786903619,-71.59412327206054,0.9454007340337987,-0.054437267177693496,0.9469667174560153
1668,13.834080599999652,187.08794162983932,347.92393540588665,0.2255777601795815,0.022816303486168685,-0.0009225698187457485,-8.938120854576479,-9.019009177518843,-49.019101091381856,0.6791904459202156,-0.06522987982277065,0.6823156154236795
1669,13.837706100000103,187.10159966527232,347.92187282852245,0.2255777601795815,0.025897252527597395,-0.0013878414007589923,-9.089380762712171,-9.087654130425644,-44.72531626381151,0.5708257670389755,-0.060196999175530695,0.5739910583148256
1670,13.851994399999969,187.1025285173923,347.91920569492356,0.2255777601795815,0.02610678090836133,-0.0019894874240964887,-9.268681816604936,-9.113288638585129,-10.145982495650244,-0.1065282660510217,0.04113026670786324,0.11419268937763584
1671,13.867005699999936,187.08875087324458,347.9202143265629,0.2255777601795815,0.022998850800966687,-0.0017619625580421875,-9.215020543008489,-9.126556165217028,-0.7896351008508988,-0.3491561764086402,0.07798834455547818,0.35775999973558453
1672,13.87053840000044,187.06239081279355,347.926289238379,0.2255777601795815,0.017052607406225894,-0.00039159755728111073,-9.055239216023574,-9.091870070934032,7.965441784543614,-1.1740505178229266,0.23582756899316148,1.1975012570755432
1673,13.88290330000018,187.02292421076677,347.93491245852056,0.2255777601795815,0.008149819719126433,0.001553609127783873,-9.004458487735965,-8.994866201686808,9.31978268954853,-1.4109340987242875,0.28921745165790363,1.440271420700421
1674,13.886589200000344,186.96941666060187,347.945710841681,0.2255777601795815,-0.003920293599770321,0.0039894842146723595,-8.915950291297193,-8.903303074321736,11.228453686327498,-2.0883222730173983,0.40090897709871953,2.126456659304133
1675,13.898776799999723,186.90621677501377,347.9578586796585,0.2255777601795815,-0.018176782234337673,0.006729766296666368,-8.783662470368816,-8.842637909786223,9.519718870241606,-2.0072131746739617,0.35152994897228973,2.0377629974089686
1676,13.9028244000001,186.8417290594761,347.9681511933521,0.2255777601795815,-0.03272377666442241,0.009051528482292605,-8.757204906183137,-8.807587640550995,6.723016268867641,-2.6629888249818348,0.43661593937588333,2.698544600427278
1677,13.914007100000164,186.77839109665618,347.9751417412091,0.2255777601795815,-0.047011412451679675,0.01062844061029338,-8.751913393346005,-8.793330760532076,1.3961227668530687,-2.126964660744823,0.32281635541836345,2.151322632099364
1678,13.917276000000127,186.72044234813865,347.9835864606929,0.2255777601795815,-0.0600833613474744,0.012533381516794955,-8.829207141559825,-8.813396620856418,-0.7604547915487854,-2.1261209046731793,0.3141890366991165,2.1492102856794206
1679,13.936139800000092,186.67072338000344,347.9912686244505,0.2255777601795815,-0.07129885481785499,0.01426630681057521,-8.844665891202592,-8.84721960737441,-2.489382791028744,-1.6096123308151609,0.2309242664194151,1.626092824021298
1680,13.943627300000117,186.63203631375086,347.99729988316346,0.2255777601795815,-0.08002579657103061,0.01562682464210322,-8.883991771990518,-8.890686597256131,-2.0546273591376947,-1.4794459087991645,0.22195068371553703,1.4960021066376812
1681,13.949301999999989,186.60659229987326,348.0012567334862,0.2255777601795815,-0.08576540023151856,0.016519402075265716,-8.926319838773104,-8.890602163201228,0.07687917560183948,-0.6933725712159122,0.09357456495586727,0.6996582892535792
1682,13.953953500000353,186.59366696534917,348.00323929323486,0.2255777601795815,-0.08868106824303326,0.016966623462795795,-8.969248342754621,-8.874560618187122,1.835622138682997,-0.47694548540600223,0.02671351024119135,0.47769300568312
1683,13.962941800000408,186.59093688293882,348.0008830654962,0.2255777601795815,-0.08929691411826614,0.016435110887042543,-8.8287849712853,-8.833941420512424,3.419362840558602,-0.1734183592019854,-0.032128610757497844,0.17636942744567619
1684,13.967157099999897,186.60004821609604,347.9963526633467,0.2255777601795815,-0.08724159999241012,0.015413152917445907,-8.76445816613206,-8.804431350508736,2.002662255955009,0.36593026841109694,-0.14845143753178405,0.39489592381369376
1685,13.97811989999991,186.61715988117243,347.99088504083664,0.2255777601795815,-0.08338158891153603,0.01417977887811414,-8.680895783617038,-8.781262246664246,0.45870880720354457,0.6223990286602111,-0.19651888386338082,0.6526869254030475
1686,13.981771699999626,186.64444271077164,347.9840158158733,0.2255777601795815,-0.07722718931918379,0.012630234496714542,-8.778769488754659,-8.807075447379725,-5.60919043308726,1.205436448563398,-0.3001881544883451,1.242251971067165
1687,13.994383999999627,186.68109358784915,347.9759539051403,0.2255777601795815,-0.06895956655942291,0.010811646730789111,-8.853402823532182,-8.860943653929072,-7.711053619170883,1.227742416977862,-0.27492340575842433,1.2581471779885107
1688,13.997928599999796,186.72582454442323,347.96687971163664,0.2255777601795815,-0.05886925756475064,0.008764710484802736,-8.957850974862685,-8.952466562817065,-9.261671649344265,1.452414910693231,-0.3079006723405996,1.4846925260240988
1689,14.016235300000517,186.77444548547106,347.95745631706933,0.2255777601795815,-0.04790145458535778,0.006639002245021234,-9.033799198878787,-9.016697658266539,-8.922665052475946,1.4436460210336075,-0.2829828052656086,1.4711196763425336
1690,14.024036499999966,186.8254717229303,347.9478632247751,0.2255777601795815,-0.03639107022891095,0.004475013972097286,-9.138510328057007,-9.060693779700184,-9.282714936906096,1.6410566249240617,-0.31274149146018676,1.6705909393648388
1691,14.030354499999705,186.87144590314466,347.9394682476001,0.2255777601795815,-0.026020317630063572,0.0025812938241921487,-9.099924966002026,-9.094644127033787,-4.521091913288684,1.2740547588535547,-0.23331752714389836,1.2952422927892422
1692,14.035762700000303,186.9108264110889,347.9324439661969,0.2255777601795815,-0.017136950853269908,0.0009967721583926657,-9.073383430700407,-9.127479118375508,-5.521476218836059,1.4474021143739102,-0.26294161061591037,1.4710918296582831
1693,14.043071699999928,186.9436054980359,347.92660006625624,0.2255777601795815,-0.0097427178390302,-0.00032148170093446334,-9.127602711530706,-9.142186741643854,-4.894804169400969,1.2360170121017782,-0.22242261054513152,1.255870165218809
1694,14.047171700000035,186.9702481457492,347.9217974164664,0.2255777601795815,-0.003732729042613005,-0.0014048526834529868,-9.197974155587392,-9.177079926453771,-3.1446317765680543,1.0505380930537442,-0.18893639014904504,1.067392732071729
1695,14.058565299999827,186.99138787261893,347.9180195445463,0.2255777601795815,0.0010359231954697012,-0.00225705656942968,-9.212048444398729,-9.205635711853256,-0.822931036563267,0.7313853518036085,-0.1324737382420344,0.743285829379726
1696,14.062837100000252,187.00491026161177,347.9155141024452,0.2255777601795815,0.004086273416751519,-0.0028222285868674483,-9.27439089005162,-9.1912086853394,0.6540376444953677,0.49886807662394456,-0.0911935745262508,0.5071347216562367
1697,14.074528799999824,187.0073364216041,347.9149609841073,0.2255777601795815,0.0046335611536574995,-0.002946999782633451,-9.216162357697826,-9.126469764411633,9.293646596932371,-0.06494160250903769,0.010032613464463325,0.06571198573600695
1698,14.09050120000029,186.99664993181705,347.9168048212222,0.2255777601795815,0.002222926723313238,-0.0025310711361301247,-9.05546757896144,-9.040656745851077,11.854748606460664,-0.27675727809885037,0.047600704771512486,0.28082097157340136
1699,14.094299200000023,186.97386646244644,347.9208775358719,0.2255777601795815,-0.0029165172664287493,-0.001612357287591779,-8.874279550948538,-8.908913575732717,16.710774603227325,-0.9743491270141433,0.17307743306114642,0.9896019498506755
1700,14.105940600000396,186.9408100604358,347.9267113883625,0.2255777601795815,-0.01037330639158235,-0.00029636990954819506,-8.782983351595957,-8.78901635772467,15.943218439859308,-1.1220196496649888,0.1996941888533069,1.1396516412027513
1701,14.1091121999998,186.9018094181851,347.93367217082107,0.2255777601795815,-0.01917098391606008,0.0012738278065550022,-8.615675039459816,-8.701298144591808,14.73880788439972,-1.4945759380466206,0.26583601807184903,1.518033604072134
