frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0.0,211.9902801513672,346.4916687011719,0.0,0.2564102564102564,211.86368306477866,346.72276814778644,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.03333333333333333,211.8157501220703,346.8102722167969,0.0,0.2564102564102564,211.84642028808594,346.7735900878906,0,-0.004426352998130767,0.013031266693388943,0.0,0.0,0.0,0.0,0.0,0
2,0.06666666666666667,211.78501892089844,346.8663635253906,0.0,0.2564102564102564,211.83612060546875,346.8098999023438,0,-0.007067297258949168,0.022341475527525745,0.0,0.0,0.0,0.0,0.0,0
3,0.1,211.7946319580078,346.9260559082031,0.0,0.2564102564102564,211.7989532470703,346.8917297363281,0,-0.016597389155982967,0.043323484241454935,0.0,0.0,0.0,0.0,0.0,0
4,0.13333333333333333,211.794921875,346.95513916015625,0.0,0.2564102564102564,211.79617004394532,346.90020141601565,0,-0.017311030982902764,0.045495709802366946,0.0,0.0,0.0,0.0,0.0,0
5,0.16666666666666666,211.804443359375,346.90081787109375,0.0,0.2564102564102564,211.76120300292968,346.8812744140625,0,-0.026276938935630767,0.04064263237847854,0.0,0.0,0.0,0.0,0.0,0
6,0.2,211.8018341064453,346.8526306152344,0.0,0.2564102564102564,211.6975311279297,346.82415161132815,0,-0.042603060730499465,0.025995759882491143,0.0,0.0,0.0,0.0,0.0,0
7,0.23333333333333334,211.6101837158203,346.771728515625,0.0,0.2564102564102564,211.6162322998047,346.747802734375,0,-0.06344891409588627,0.006419124766296136,0.0,0.0,0.0,0.0,0.0,0
8,0.26666666666666666,211.4762725830078,346.64044189453125,0.0,0.2564102564102564,211.52489013671874,346.6882019042969,0,-0.08686998155382497,-0.008863139356293459,0.0,0.0,0.0,0.0,0.0,0
9,0.3,211.388427734375,346.5733947753906,0.0,0.2564102564102564,211.42959289550782,346.6291748046875,0,-0.11130517160790276,-0.023998293102280854,0.0,0.0,0.0,0.0,0.0,0
10,0.3333333333333333,211.3477325439453,346.6028137207031,0.0,0.2564102564102564,211.37587280273436,346.5803527832031,0,-0.12507955437033047,-0.03651676014956706,0.0,0.0,0.0,0.0,0.0,0
11,0.36666666666666664,211.32534790039062,346.5574951171875,0.0,0.2564102564102564,211.3687744140625,346.5522033691406,0,-0.12689965402977776,-0.043734558627136266,0.0,0.0,0.0,0.0,0.0,0
12,0.4,211.34158325195312,346.5276184082031,0.0,0.2564102564102564,211.39149169921876,346.53529052734376,0,-0.12107470911792007,-0.048071184728883054,0.0,0.0,0.0,0.0,0.0,0
13,0.43333333333333335,211.44078063964844,346.49969482421875,0.0,0.2564102564102564,211.42699279785157,346.517138671875,0,-0.11197186331463627,-0.05272550664395226,0.0,0.0,0.0,0.0,0.0,0
14,0.4666666666666667,211.50201416015625,346.48883056640625,0.0,0.2564102564102564,211.46658020019532,346.523095703125,0,-0.10182124732905606,-0.05119806273368965,0.0,0.0,0.0,0.0,0.0,0
15,0.5,211.52523803710938,346.5120544433594,0.0,0.2564102564102564,211.50698852539062,346.5353637695313,0,-0.09146013830461897,-0.04805240468080285,0.0,0.0,0.0,0.0,0.0,0
16,0.5333333333333333,211.52328491210938,346.5872802734375,0.0,0.2564102564102564,211.52931213378906,346.5526977539063,0,-0.08573613615117637,-0.04360779330259845,0.0,0.0,0.0,0.0,0.0,0
17,0.5666666666666667,211.5436248779297,346.5889587402344,0.0,0.2564102564102564,211.53982849121093,346.57146606445315,0,-0.08303963424813077,-0.03879540598289566,0.0,0.0,0.0,0.0,0.0,0
18,0.6,211.55239868164062,346.58636474609375,0.0,0.2564102564102564,211.54434814453126,346.5901611328125,0,-0.08188074878137996,-0.03400179871125886,0.0,0.0,0.0,0.0,0.0,0
19,0.6333333333333333,211.55459594726562,346.5826721191406,0.0,0.2564102564102564,211.5466796875,346.601318359375,0,-0.08128291725093817,-0.03114097138754346,0.0,0.0,0.0,0.0,0.0,0
20,0.6666666666666666,211.54783630371094,346.60552978515625,0.0,0.2564102564102564,211.5383728027344,346.6246276855469,0,-0.08341288770365907,-0.02516422108705285,0.0,0.0,0.0,0.0,0.0,0
21,0.7,211.53494262695312,346.64306640625,0.0,0.2564102564102564,211.53134765625,346.693359375,0,-0.08521420731503326,-0.0075407109708720554,0.0,0.0,0.0,0.0,0.0,0
