frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
36,1.2,450.4344482421875,306.95050048828125,0.0,0.23255813953488372,450.3913330078125,306.9033935546875,0,0.08651993625846899,0.021717633387837054,0.0,0.0,0.0,0.0,0.0,0
37,1.2333333333333334,450.3956604003906,306.8941650390625,0.0,0.23255813953488372,450.37824096679685,306.8597900390625,0,0.08347527555716283,0.011577280916895916,0.0,0.0,0.0,0.0,0.0,0
38,1.2666666666666666,450.3418884277344,306.7826232910156,0.0,0.23255813953488372,450.3671875,306.819189453125,0,0.08090470188346899,0.0021352841872470663,0.0,0.0,0.0,0.0,0.0,0
39,1.3,450.3108825683594,306.7215270996094,0.0,0.23255813953488372,450.35321655273435,306.77845458984376,0,0.0776556443798313,-0.007337939831643325,0.0,0.0,0.0,0.0,0.0,0
40,1.3333333333333333,450.3530578613281,306.74713134765625,0.0,0.23255813953488372,450.3483093261719,306.74973754882814,0,0.07651442890019666,-0.014016321463174108,0.0,0.0,0.0,0.0,0.0,0
41,1.3666666666666667,450.3645935058594,306.746826171875,0.0,0.23255813953488372,450.3489135742187,306.73487548828126,0,0.0766549517017836,-0.017472614613623705,0.0,0.0,0.0,0.0,0.0,0
42,1.4,450.3711242675781,306.7505798339844,0.0,0.23255813953488372,450.36724853515625,306.73317260742186,0,0.08091889610585667,-0.017868633418132163,0.0,0.0,0.0,0.0,0.0,0
43,1.4333333333333333,450.34490966796875,306.70831298828125,0.0,0.23255813953488372,450.3839172363281,306.72752685546874,0,0.08479533823884822,-0.019181598988623705,0.0,0.0,0.0,0.0,0.0,0
44,1.4666666666666666,450.4025573730469,306.7130126953125,0.0,0.23255813953488372,450.4016540527344,306.7229736328125,0,0.08892017926356743,-0.020240487978441024,0.0,0.0,0.0,0.0,0.0,0
45,1.5,450.4364013671875,306.7189025878906,0.0,0.23255813953488372,450.4193359375,306.7184265136719,0,0.09303224548813205,-0.02129795754602526,0.0,0.0,0.0,0.0,0.0,0
46,1.5333333333333334,450.4532775878906,306.72406005859375,0.0,0.23255813953488372,450.4423522949219,306.7228210449219,0,0.0983848867490309,-0.02027597353439603,0.0,0.0,0.0,0.0,0.0,0
47,1.5666666666666667,450.45953369140625,306.72784423828125,0.0,0.23255813953488372,450.45343017578125,306.72655029296874,0,0.10096113811167129,-0.01940870654675564,0.0,0.0,0.0,0.0,0.0,0
48,1.6,450.4599914550781,306.73028564453125,0.0,0.23255813953488372,450.4492431640625,306.7382568359375,0,0.09998741445615167,-0.016686254693567548,0.0,0.0,0.0,0.0,0.0,0
