frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,angle_deg,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
640,5.3036512,130.4944619,267.690737,29.52826292,60.57301089,0.076602931,1.676602931,0.226279817,-3.53E-05,-0.001183351,1.672676877,-3.92E-05,0.006240956,0.006241079,0.809817974
641,5.3083182,130.4945757,267.6862951,29.52828867,60.57200578,0.083068198,1.683068198,0.226279817,-9.50E-06,-0.000178244,1.666888548,0.000407108,0.01173942,0.011746477,-0.198429156
642,5.3202197,130.4945698,267.6860086,29.52828734,60.57194096,0.084361252,1.684361252,0.226279817,-1.08E-05,-0.000113416,1.665730882,0.001315914,0.044935241,0.044954505,-2.013893399
643,5.3234506,130.4945912,267.6857767,29.52829219,60.57188849,0.046133763,1.646133763,0.226279817,-5.99E-06,-6.10E-05,1.65053227,0.001757136,0.028732774,0.028786452,-1.89423446
644,5.3356338,130.4946195,267.6855815,29.52829858,60.5718443,0.038488265,1.638488265,0.226279817,4.04E-07,-1.68E-05,1.639795327,0.00046945,-0.022953592,0.022958392,-2.093512663
645,5.3387231,130.494638,267.6869059,29.52830277,60.572144,0.000609869,1.600609869,0.226279817,4.59E-06,-0.000316465,1.637647939,0.001967508,0.033688174,0.03374558,-0.338012771
646,5.3516468,130.4945854,267.6893656,29.52829087,60.57270059,0.029383487,1.629383487,0.226279817,-7.31E-06,-0.00087305,1.644915681,0.002076433,0.047921121,0.047966086,-0.668370429
647,5.3547532,130.4946867,267.6854029,29.52831379,60.57180391,0.073624309,1.673624309,0.226279817,1.56E-05,2.36E-05,1.63909937,0.00206517,0.035538947,0.0355989,-0.08093781
648,5.3676879,130.4948036,267.6804068,29.52834023,60.57067339,0.082472474,1.682472474,0.226279817,4.21E-05,0.00115415,1.652903187,0.002118597,0.067014747,0.067048227,0.032405358
649,5.3707473,130.4948099,267.6811948,29.52834166,60.5708517,0.009406711,1.609406711,0.226279817,4.35E-05,0.000975836,1.65566395,0.001486934,0.046866832,0.046890414,0.6706967
650,5.383736,130.494903,267.6777297,29.52836274,60.57006762,0.069628954,1.669628954,0.226279817,6.46E-05,0.001759919,1.656216103,-0.000305109,-0.018405428,0.018407957,-0.352826576
651,5.387523,130.4948348,267.6801365,29.52834729,60.57061222,0.043187304,1.643187304,0.226279817,4.91E-05,0.001215324,1.648629314,-0.002138599,-0.082228621,0.082256427,-0.497275445
652,5.3997874,130.494749,267.6821801,29.52832789,60.57107465,0.076385073,1.676385073,0.226279817,2.97E-05,0.00075289,1.654381815,-0.002567686,-0.082251986,0.082292055,-0.392560255
653,5.4030132,130.4946475,267.6854834,29.52830492,60.57182211,0.044538527,1.644538527,0.226279817,6.74E-06,5.43E-06,1.655532315,-0.003731346,-0.114835347,0.114895953,0.483481925
654,5.415702,130.4945534,267.6887582,29.52828363,60.57256315,0.038169218,1.638169218,0.226279817,-1.45E-05,-0.000735606,1.663459635,-0.003045162,-0.088969501,0.0890216,-0.325914034
655,5.4188216,130.4944956,267.690172,29.52827054,60.57288306,0.075381456,1.675381456,0.226279817,-2.76E-05,-0.001055522,1.65734788,-0.001505808,-0.040609098,0.040637006,-0.476052688
656,5.4318586,130.4944583,267.6910061,29.52826209,60.5730718,0.082823903,1.682823903,0.226279817,-3.61E-05,-0.001244263,1.656125528,7.09E-05,0.008857402,0.008857686,-0.711088162
657,5.4349009,130.4945405,267.6882621,29.5282807,60.57245088,0.045826293,1.645826293,0.226279817,-1.75E-05,-0.00062334,1.655881058,0.000283882,0.015323204,0.015325833,-0.059300201
658,5.4478242,130.4945839,267.6873701,29.52829053,60.57224904,0.038426771,1.638426771,0.226279817,-7.65E-06,-0.000421497,1.655832164,0.000422176,0.022012834,0.022016882,-0.028237046
659,5.4649592,130.4945375,267.6893444,29.52828004,60.57269577,0.036946867,1.636946867,0.226279817,-1.81E-05,-0.000868233,1.655822385,0.000683388,0.032205245,0.032212495,-0.001671215
660,5.4679245,130.4944916,267.6902499,29.52826965,60.57290068,0.075136985,1.675136985,0.226279817,-2.85E-05,-0.001073141,1.65582043,-0.001082422,-0.031731332,0.031749789,-0.000421132
661,5.4797221,130.4945259,267.6883477,29.52827741,60.57247025,0.082775009,1.682775009,0.226279817,-2.08E-05,-0.000642709,1.655820038,-0.001422158,-0.042285375,0.042309284,-0.000239309
662,5.4828238,130.4944887,267.6899321,29.52826899,60.57282876,0.045816515,1.645816515,0.226279817,-2.92E-05,-0.001001223,1.65581996,-0.00198723,-0.067111259,0.067140674,-1.99E-05
663,5.4961099,130.4944336,267.6921135,29.52825652,60.57332236,0.038424816,1.638424816,0.226279817,-4.16E-05,-0.001494824,1.655819944,-0.001367235,-0.054391467,0.054408648,-9.13E-06
664,5.4992762,130.4943855,267.6942152,29.52824564,60.57379794,0.036946476,1.636946476,0.226279817,-5.25E-05,-0.001970405,1.655819941,0.00023069,0.005011258,0.005016565,-7.38E-07
665,5.5124111,130.4943621,267.6945346,29.52824033,60.57387023,0.075136907,1.675136907,0.226279817,-5.78E-05,-0.002042688,1.655819941,0.000724206,0.025802106,0.025812267,-0.70444409
666,5.5158511,130.4944935,267.6894647,29.52827008,60.57272299,0.082774993,1.682774993,0.226279817,-2.81E-05,-0.000895454,1.648550081,0.001216095,0.019539177,0.019576984,-0.745331034
667,5.5277046,130.4944806,267.690074,29.52826716,60.57286087,0.045816511,1.645816511,0.226279817,-3.10E-05,-0.001033334,1.647096109,0.001801424,0.043404586,0.043441952,-2.484655202
668,5.5306287,130.4945003,267.6909587,29.5282716,60.57306108,0.002075518,1.602075518,0.226279817,-2.66E-05,-0.001233537,1.631838236,0.004167782,0.101511457,0.10159698,-1.858287598
669,5.5436569,130.4944709,267.6927363,29.52826495,60.57346331,0.029676616,1.629676616,0.226279817,-3.32E-05,-0.001635768,1.628786661,0.00292137,0.053732167,0.053811524,-1.884610445
670,5.5466838,130.4946237,267.6889235,29.52829954,60.57260055,-0.001152461,1.598847539,0.226279817,1.36E-06,-0.000773007,1.628176346,0.002466505,0.039598348,0.03967509,0.034813879
671,5.5599131,130.4947649,267.6833927,29.52833149,60.57134903,0.06751712,1.66751712,0.226279817,3.33E-05,0.00047851,1.635324143,0.001888849,0.04444321,0.04448333,0.272011051
672,5.5629078,130.4947316,267.6844819,29.52832394,60.5715955,0.042764937,1.642764937,0.226279817,2.58E-05,0.000232042,1.636753702,0.001075104,0.014116052,0.014156934,0.738057869
673,5.5756557,130.4946546,267.6869744,29.52830652,60.57215949,0.0378145,1.6378145,0.226279817,8.34E-06,-0.00033195,1.652006693,-0.001388929,-0.046065215,0.04608615,0.07589303
674,5.5788687,130.4945895,267.6895659,29.5282918,60.57274589,0.036824413,1.636824413,0.226279817,-6.37E-06,-0.000918354,1.647360071,-0.002734932,-0.09332429,0.093364356,-0.075046399
675,5.591692,130.494539,267.6904655,29.52828036,60.57294947,0.075112495,1.675112495,0.226279817,-1.78E-05,-0.001121925,1.647674817,-0.002086273,-0.070393372,0.070424281,0.37034764
676,5.594756,130.4944805,267.6923841,29.52826714,60.57338361,0.044284012,1.644284012,0.226279817,-3.10E-05,-0.001556074,1.655434986,-0.001804898,-0.059610528,0.059637846,0.900120088
684,5.6593804,130.4946869,267.6831441,29.52831383,60.57129279,0.044338664,1.644338664,0.226279817,1.57E-05,0.000534748,1.664684239,-0.001669949,-0.0388655,0.03890136,0.939390996
685,5.6723748,130.4946892,267.6825887,29.52831435,60.57116711,0.076615345,1.676615345,0.226279817,1.62E-05,0.000660433,1.66653409,-5.02E-05,0.014295834,0.014295923,0.132730215
686,5.6756573,130.4946325,267.6837316,29.52830153,60.57142572,0.083070681,1.683070681,0.226279817,3.35E-06,0.000401822,1.66690406,0.00076405,0.039850542,0.039857865,0.264341583
687,5.6877905,130.4950189,267.6703302,29.52838896,60.56839325,0.084361748,1.684361748,0.226279817,9.08E-05,0.003434292,1.673431204,-0.000816172,-0.007743553,0.007786447,0.088554544
688,5.7043924,130.4950011,267.6713515,29.52838492,60.56862435,0.046133862,1.646133862,0.226279817,8.67E-05,0.003203195,1.667039413,-0.001242526,-0.025756598,0.025786551,-0.089811514
689,5.7074189,130.4949051,267.6741016,29.5283632,60.56924664,0.076974384,1.676974384,0.226279817,6.50E-05,0.002580895,1.665761055,0.000336883,0.020859015,0.020861735,-0.275948268
690,5.7199194,130.4947895,267.6785428,29.52833705,60.5702516,0.04465639,1.64465639,0.226279817,3.89E-05,0.001575942,1.665505383,-0.000547461,-0.009595454,0.009611059,-0.15348477
691,5.7228226,130.4948407,267.6765632,29.52834864,60.56980365,0.07667889,1.67667889,0.226279817,5.05E-05,0.002023887,1.665454249,0.000380713,0.018289133,0.018293095,-0.208327516
692,5.7359547,130.4950023,267.6708956,29.5283852,60.56852118,0.08308339,1.68308339,0.226279817,8.70E-05,0.003306357,1.657746802,0.001459296,0.04455326,0.044577152,-0.359310314
693,5.7392109,130.4950656,267.6690896,29.52839952,60.56811252,0.045878191,1.645878191,0.226279817,0.000101344,0.00371502,1.656205313,0.001999998,0.056922508,0.056957633,-0.566971004
694,5.7517079,130.494967,267.6731928,29.5283772,60.569041,0.038437151,1.638437151,0.226279817,7.90E-05,0.002786538,1.648199795,0.000793293,0.010530738,0.010560576,-1.237218769
695,5.7552874,130.4949766,267.6734862,29.52837939,60.56910739,0.036948943,1.636948943,0.226279817,8.12E-05,0.00272015,1.638901472,-0.001554575,-0.080165302,0.080180374,-1.129340475
696,5.7677045,130.4948646,267.6777481,29.52835404,60.57007177,0.036651301,1.636651301,0.226279817,5.59E-05,0.001755771,1.637041807,-0.002793611,-0.119545395,0.119578032,-0.107545827
697,5.7707255,130.4947451,267.6824985,29.52832699,60.5711467,0.036591773,1.636591773,0.226279817,2.88E-05,0.000680836,1.644367094,-0.002494246,-0.102885886,0.102916116,0.793608785
