frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,417.56189982096356,394.4249776204427,0.1388888888888889,0.0,0.0,-3.4477157592773438,-3.418526713053385,0.3150985717773461,0.14343685574000173,-0.6954362657334445,0.7100744547453148
1,0.0333333333333333,417.6090087890625,394.33998107910156,0.1388888888888889,0.006542912235963804,-0.011805075186267623,-3.4080963134765625,-3.405741500854492,0.3373911539713514,0.15391314471205278,-0.9635699236834537,0.9757849424655466
2,0.0666666666666666,417.63074951171876,394.09116821289064,0.1388888888888889,0.009562457049333438,-0.046362417715562924,-3.39976806640625,-3.397520141601562,0.2248199462890609,0.16870710584851645,-1.4561865064832704,1.4659267475654212
3,0.1,417.67271728515624,393.7312072753906,0.1388888888888889,0.015391314471205281,-0.09635699236834544,-3.3673858642578125,-3.38478759765625,0.13768676757812315,0.17169358995223175,-1.7903001573350736,1.7985142040541895
4,0.1333333333333333,417.72385864257814,393.02703857421875,0.1388888888888889,0.02249428077980219,-0.19415820086443603,-3.364634704589844,-3.3885507202148437,-0.03902023315430101,0.15240987141927084,-2.1861902872721353,2.1914964615689114
5,0.1666666666666666,417.76793212890624,392.2766174316406,0.1388888888888889,0.028615598325371947,-0.29838335955584544,-3.384053039550781,-3.3955789184570313,-0.18511962890625547,0.1645100911458049,-2.108556111653664,2.1149639349362013
6,0.2,417.7919006347656,391.716552734375,0.1388888888888889,0.03194455747250895,-0.3761701230649569,-3.4269119262695313,-3.4122448730468755,-0.31168212890625213,0.15398661295572927,-1.5830586751301705,1.590530303349945
7,0.2333333333333333,417.8281616210937,391.56090087890624,0.1388888888888889,0.03698080557363426,-0.39778843632450706,-3.4349090576171877,-3.428373413085938,-0.2645379638671841,0.12012736002603219,-0.5594278971354075,0.5721801767976309
8,0.2666666666666666,417.8575012207031,391.8315368652344,0.1388888888888889,0.04105574996382681,-0.3602001048900405,-3.4507156372070313,-3.4367346191406254,-0.1882067871093724,0.09786478678388262,0.5450642903646028,0.5537802787414182
9,0.3,417.8680114746094,392.35572509765626,0.1388888888888889,0.04251550745080755,-0.28739618372033726,-3.4452774047851564,-3.4326403808593744,-0.0416070556640592,0.07770284016928032,1.370758056640635,1.3729586232715039
