frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
335,2.773230499999954,94.499984741212,202.99996948296302,0.237006237006237,0.0,0.0,0.0,0.0,0.0,-1.5314186887300044e-11,-7.447720214743612e-09,7.4477359594322794e-09
336,2.7755208999999468,94.49998474121173,202.99996948283257,0.237006237006237,-6.399316281315497e-14,-3.091880182235593e-11,0.0,0.0,0.0,-2.3839652631379143e-11,-1.1937392290289799e-08,1.1937416094838443e-08
337,2.789300599999933,94.49998474121158,202.9999694827514,0.237006237006237,-1.01041836020771e-13,-5.015716740071072e-11,0.0,0.0,0.0,-1.8467894146675464e-11,-9.237318976402216e-09,9.237337437536571e-09
338,2.7921010999998543,94.4999847412111,202.99996948250424,0.237006237006237,-2.1555591684431146e-13,-1.0873448780315237e-10,0.0,0.0,0.0,-1.5291941044551446e-11,-7.669890699542961e-09,7.669905943777702e-09
339,2.804985699999861,94.49998474121097,202.99996948244242,0.237006237006237,-2.4586846765054274e-13,-1.2338555402616417e-10,0.0,0.0,0.0,-9.703994588616932e-12,-4.984471893871144e-09,4.98448133994926e-09
340,2.807588399999986,94.49998474121094,202.99996948242705,0.237006237006237,-2.526045900519275e-13,-1.270297962453133e-10,0.0,0.0,0.0,1.3936846366424777e-05,-4.717358647793432e-09,1.3936847164793052e-05
341,2.82027549999998,94.49998474121094,202.99996948242318,0.237006237006237,-2.526045900519275e-13,-1.2794590889190163e-10,0.0,0.0,0.0,2.3685145449727652e-05,-5.349797652102139e-10,2.3685145455769484e-05
342,2.824167799999941,94.49998588562012,202.9999694824222,0.237006237006237,2.7123186134215107e-07,-1.281816731759501e-10,0.0,0.0,0.0,0.00010642034598657339,-3.081367304518719e-10,0.0001064203459870195
343,2.8366883999999573,94.49998846054078,202.99996948242193,0.237006237006237,8.815041168803033e-07,-1.2824229827756256e-10,0.0,0.0,0.0,0.00012649699915044375,-2.820316404329535e-11,0.0001264969991504469
344,2.8390241999998125,94.49999253749847,202.9999694824219,0.237006237006237,1.8477685183949883e-06,-1.2824903439996392e-10,0.0,0.0,0.0,0.00014252669333078688,6.138507893245322e-06,0.0001426588223383454
345,2.852238499999885,94.49999813437462,202.99996948242188,0.237006237006237,3.174263073718609e-06,-1.282557705223653e-10,0.0,0.0,0.0,0.00021289174809604726,9.424539296243084e-05,0.00023281986706901508
346,2.869912599999907,94.50000411123037,202.99997177124024,0.237006237006237,4.5908151632843864e-06,5.423359721229599e-07,0.0,0.0,0.0,0.0002165819487502638,0.00012536902987502976,0.00025025014320928567
347,2.872683199999983,94.50000903867185,202.99997692108155,0.237006237006237,5.758649526674039e-06,1.7628804831992644e-06,0.0,0.0,0.0,0.00015846644173614182,0.00026148955947648625,0.00030575873310785556
348,2.885101599999871,94.50001255935058,202.99998507499694,0.237006237006237,6.593072344572919e-06,3.6954092862286343e-06,0.0,0.0,0.0,0.0001404429401056009,0.00030997919928479905,0.0003403106278310311
349,2.8889995999998064,94.50001458392944,202.99999626874924,0.237006237006237,7.072910162152365e-06,6.348398396875875e-06,0.0,0.0,0.0,0.00012613913224291626,0.0004382560505063497,0.0004560476362052763
