frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0.0,295.683837890625,220.4374542236328,0.0,0.18181818181818182,295.68651326497394,219.55224100748697,0,0.0,0.0,0.0,-0.22372713955970625,-0.49641834605811397,0.5445043684660773,0.0,0
1,0.03333333333333333,295.8047180175781,219.1497039794922,0.0,0.18181818181818182,295.637451171875,219.43404388427734,0,-0.008920380563445462,-0.021490386038109932,0.0,-0.20787834398674931,-0.9942811908143766,1.0157797459616569,0.0,0
2,0.06666666666666667,295.57098388671875,219.06956481933594,0.0,0.18181818181818182,295.60447998046874,219.37022094726564,0,-0.01491514263731375,-0.033094556403874265,0.0,-0.21947132457384555,-0.939890081232182,0.965174091606709,0.0,0
3,0.1,295.4902648925781,219.07945251464844,0.0,0.18181818181818182,295.5721801757812,219.00538635253906,0,-0.02078783439867493,-0.09942811908143767,0.0,-0.16877219460231174,-0.9083374023437187,0.9238835912426496,0.0,0
4,0.13333333333333333,295.47259521484375,219.11492919921875,0.0,0.18181818181818182,295.52556762695315,218.86298828125,0,-0.02926284327651274,-0.12531867749762426,0.0,-0.0685080788352366,-0.9331670587713177,0.9356784257647532,0.0,0
5,0.16666666666666666,295.5223388671875,218.61328125,0.0,0.18181818181818182,295.53180541992185,218.71959838867187,0,-0.02812869910038529,-0.15138956705728646,0.0,0.032646040482973135,-0.9940496271307353,0.9945855544687796,0.0,0
6,0.2,295.5716552734375,218.43771362304688,0.0,0.18181818181818182,295.57465209960935,218.57864074707032,0,-0.020338393702651558,-0.17701822916666288,0.0,0.12135564630682438,-0.5337624289772549,0.5473842557822121,0.0,0
7,0.23333333333333334,295.6021728515625,218.3526153564453,0.0,0.18181818181818182,295.6344055175781,218.4590087890625,0,-0.009474135890151558,-0.19876949425899682,0.0,0.20886674360791346,-0.17413330078124994,0.27193330621008366,0.0,0
8,0.26666666666666666,295.7044982910156,218.37466430664062,0.0,0.18181818181818182,295.6834228515625,218.51610412597657,0,-0.0005618933475375343,-0.18838852391098015,0.0,0.22813609730121698,0.24223854758520263,0.33275455342942917,0.0,0
9,0.3,295.7713623046875,218.5167694091797,0.0,0.18181818181818182,295.71702880859374,218.7033660888672,0,0.005548280658139504,-0.15434089429449926,0.0,0.19426491477274513,0.6145818536931673,0.6445538860332716,0.0,0
