frame,t_s,x_px_raw,y_px_raw,angle_deg_raw,mm_per_px,x_px_filt,y_px_filt,pos_outlier,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps,tail_trimmed
0,0.0,213.37835693359375,193.10350036621094,0.0,0.14285714285714285,213.45146687825522,193.13762919108072,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
1,0.03333333333333333,213.55593872070312,193.1803741455078,0.0,0.14285714285714285,213.42892456054688,193.14112091064453,0,-0.0032203311011897995,0.0004988170805440006,0.0,0.0,0.0,0.0,0.0,0
2,0.06666666666666667,213.42010498046875,193.12901306152344,0.0,0.14285714285714285,213.41936645507812,193.13701171875,0,-0.004585774739584991,-8.82103329615802e-05,0.0,0.0,0.0,0.0,0.0,0
3,0.1,213.36129760742188,193.15159606933594,0.0,0.14285714285714285,213.4284912109375,193.14578552246093,0,-0.0032822381882446905,0.0011651901971703182,0.0,0.0,0.0,0.0,0.0,0
4,0.13333333333333333,213.38113403320312,193.12057495117188,0.0,0.14285714285714285,213.4184783935547,193.14957580566406,0,-0.00471264067150301,0.00170665922619051,0.0,0.0,0.0,0.0,0.0,0
5,0.16666666666666666,213.42398071289062,193.14736938476562,0.0,0.14285714285714285,213.4453155517578,193.1701690673828,0,-0.0008787609282023823,0.004648553757441221,0.0,0.0,0.0,0.0,0.0,0
6,0.2,213.50587463378906,193.19932556152344,0.0,0.14285714285714285,213.48842163085936,193.18930358886718,0,0.00527925037202337,0.007382056826635619,0.0,0.0,0.0,0.0,0.0,0
7,0.23333333333333334,213.55429077148438,193.2319793701172,0.0,0.14285714285714285,213.52300415039062,193.21909790039064,0,0.010219610305057358,0.01163838704427178,0.0,0.0,0.0,0.0,0.0,0
8,0.26666666666666666,213.5768280029297,193.2472686767578,0.0,0.14285714285714285,213.5427673339844,193.24814453125,0,0.01304292224702408,0.015787905738470442,0.0,0.0,0.0,0.0,0.0,0
9,0.3,213.55404663085938,193.26954650878906,0.0,0.14285714285714285,213.54320068359374,193.27657775878907,0,0.013104829334075419,0.019849795386907232,0.0,0.0,0.0,0.0,0.0,0
10,0.3333333333333333,213.52279663085938,193.2926025390625,0.0,0.14285714285714285,213.52721252441407,193.30461730957032,0,0.01082080659412199,0.02385544549851204,0.0,0.0,0.0,0.0,0.0,0
11,0.36666666666666664,213.50804138183594,193.34149169921875,0.0,0.14285714285714285,213.5076934814453,193.32768859863282,0,0.008032371884297618,0.02715134393601204,0.0,0.0,0.0,0.0,0.0,0
12,0.4,213.47434997558594,193.37217712402344,0.0,0.14285714285714285,213.49378051757813,193.34426879882812,0,0.00604480561755949,0.02951994396391555,0.0,0.0,0.0,0.0,0.0,0
13,0.43333333333333335,213.47923278808594,193.3626251220703,0.0,0.14285714285714285,213.4869812011719,193.3545684814453,0,0.005073474702381731,0.0309913271949398,0.0,0.0,0.0,0.0,0.0,0
14,0.4666666666666667,213.48448181152344,193.35244750976562,0.0,0.14285714285714285,213.4837432861328,193.35391845703126,0,0.004610915411085159,0.030898466564362792,0.0,0.0,0.0,0.0,0.0,0
15,0.5,213.48880004882812,193.34410095214844,0.0,0.14285714285714285,213.494921875,193.33470458984374,0,0.0062078566778254185,0.02815362839471547,0.0,0.0,0.0,0.0,0.0,0
16,0.5333333333333333,213.49185180664062,193.33824157714844,0.0,0.14285714285714285,213.5095001220703,193.3103240966797,0,0.00829046340215811,0.02467070079985234,0.0,0.0,0.0,0.0,0.0,0
17,0.5666666666666667,213.53024291992188,193.27610778808594,0.0,0.14285714285714285,213.5007080078125,193.41422119140626,0,0.0070344470796150915,0.03951314290364749,0.0,0.0,0.0,0.0,0.0,0
18,0.6,213.5521240234375,193.24072265625,0.0,0.14285714285714285,213.46869506835938,194.28150939941406,0,0.002461170014882441,0.1634114583333357,0.0,-0.1280378069196289,6.77063075474331,6.77184129296285,0.0,0
19,0.6333333333333333,213.44052124023438,193.87193298339844,0.0,0.14285714285714285,213.40341491699218,196.72881469726562,0,-0.006864565894719732,0.5130265008835551,0.0,-0.24114205496653804,12.580153982979912,12.582464930456148,0.0,0
20,0.6666666666666666,213.3287353515625,197.6805419921875,0.0,0.14285714285714285,213.34554443359374,201.23377380371093,0,-0.01513177780877939,1.1565920875186002,0.0,-0.3952802385602753,20.069724818638395,20.073617032385226,2.400000000000001,0
21,0.7,213.1654510498047,205.57476806640625,0.0,0.14285714285714285,213.22816772460936,207.98717041015624,0,-0.03189987909226488,2.1213630312965037,0.0,-0.5838997977120707,28.12012939453121,28.126190928366864,4.799999999999993,0
22,0.7333333333333333,213.2408905029297,215.8009033203125,0.0,0.14285714285714285,213.0395477294922,216.8289001464844,0,-0.05884559268043077,3.3844672793433794,0.4,-0.8064488002232076,35.26278860909597,35.27200901787663,9.599999999999994,0
23,0.7666666666666667,212.96524047851562,227.00770568847656,0.0,0.14285714285714285,212.7874786376953,227.08832702636718,0,-0.09485546293712943,4.850099690755208,0.8,-1.1132943289620623,40.56679164341516,40.58206510890195,14.399999999999995,0
24,0.8,212.49742126464844,238.08058166503906,2.0,0.14285714285714285,212.46255798339843,237.86873474121094,0,-0.14127269926525443,6.390157935732887,1.6,-1.3864144461495154,43.61518380301339,43.637213513091474,21.599999999999998,0
25,0.8333333333333334,212.06838989257812,248.97767639160156,2.0,0.14285714285714285,212.04670104980468,248.56169738769532,0,-0.20068083263578984,7.917724028087797,2.4,-1.5985473632812623,44.515542166573624,44.54423473421277,24.0,0
26,0.8666666666666667,211.5408477783203,259.476806640625,4.0,0.14285714285714285,211.61068420410157,258.8715515136719,0,-0.2629689534505175,9.390560331798739,3.6,-1.6661315917968627,43.8897661481585,43.921379384318335,24.000000000000007,0
27,0.9,211.16160583496094,269.2657165527344,4.0,0.14285714285714285,211.17457580566406,268.7636993408203,0,-0.3252701532273079,10.803724307105654,4.4,-1.5222473144531254,42.554377964564715,42.58159603440659,28.80000000000001,0
28,0.9333333333333333,210.78515625,278.5569763183594,6.0,0.14285714285714285,210.84365844726562,278.2930541992188,0,-0.3725440615699398,12.165060715448291,4.8,-1.1511186872209793,41.1611703055246,41.17726332762377,33.60000000000001,0
29,0.9666666666666667,210.31687927246094,287.54132080078125,6.0,0.14285714285714285,210.6866027832031,287.5155090332031,0,-0.39498058500744193,13.482554263160338,6.4,-0.5431143624442223,40.12493722098212,40.128612737029044,33.59999999999998,0
30,1.0,210.41380310058594,296.62445068359375,4.0,0.14285714285714285,210.70372924804687,296.58306274414065,0,-0.3925339471726197,14.777919079008562,8.0,0.36663992745536794,39.54277430943083,39.544474012470914,21.599999999999955,0
31,1.0333333333333334,210.7555694580078,305.5890808105469,12.0,0.14285714285714285,210.97705078125,305.68397827148436,0,-0.35348801385788775,16.078049868629094,9.2,1.4056849888392822,39.37017124720977,39.395257764386706,31.199999999999925,0
32,1.0666666666666667,211.2472381591797,314.6034851074219,12.0,0.14285714285714285,211.60232238769532,314.8969360351563,0,-0.2641634986514134,17.39418669201079,8.0,2.4322684151785645,39.59570486886163,39.670338714277044,21.599999999999913,0
33,1.1,212.15176391601562,324.0615539550781,12.0,0.14285714285714285,212.48362426757814,324.22492065429685,0,-0.13826323009672592,18.72675592331659,10.000000000000002,3.455686732700903,40.092218889508885,40.24087208646028,7.199999999999923,0
34,1.1333333333333333,213.4432373046875,333.6061096191406,0.0,0.14285714285714285,213.5242492675781,333.710498046875,0,0.010397484188985118,20.081838407970608,10.0,4.368082972935288,40.61402239118304,40.84824309134929,-2.4000000000000483,0
35,1.1666666666666667,214.8203125,343.2643737792969,14.0,0.14285714285714285,214.73536376953126,343.35731811523436,0,0.18341384161086438,21.45995556059338,9.2,5.05054582868304,41.11784493582584,41.42686550216232,21.599999999999913,0
