frame,t_s,x_px_filt,y_px_filt,x_mm_abs,y_mm_abs,angle_deg_raw,mm_per_px,x_mm,y_mm,angle_deg_unwrapped,vx_mm_s,vy_mm_s,speed_mm_s,angular_vel_dps
439,3.642538800000011,102.49943611717121,212.49851996999269,24.1267903475803,50.01888239293674,-8.942335590400016e-23,0.2353846153846154,0.0,-0.0,-6.152326886195211e-23,,,,
440,3.6566287000000557,102.49957292699789,212.49887468243958,24.126822550508734,50.01896588678962,-1.7884671180800034e-23,0.2353846153846154,3.220292843408856e-05,-8.34938528839757e-05,-8.384333849559055e-23,,,,
441,3.658922000000075,102.49968723809712,212.49918079829544,24.12684945758286,50.01903794175262,-3.576934236160007e-24,0.2353846153846154,5.9110002560203156e-05,-0.00015554881588286662,-1.0619202360311827e-22,,,,-3.8861113751588436e-21
442,3.672507499999938,102.49978448042272,212.49944043272816,24.12687234693027,50.019099055703705,-7.153868472320014e-25,0.2353846153846154,8.199934996966363e-05,-0.00021666276696663544,-1.1066176062462382e-22,0.004961928485619096,-0.013109955773123676,0.014017548811031729,-3.479712305402813e-21
443,3.6749571999998807,102.4998660114631,212.4996541145297,24.12689153808285,50.019149353112375,-1.430773694464003e-25,0.2353846153846154,0.00010119050255141815,-0.00026696017563665464,-1.1155570802892492e-22,0.00577729610573351,-0.015166545124925815,0.016229640825345906,-2.3579107413929065e-22
444,3.6882559000000583,102.49993789263628,212.49983341998984,24.126908457805158,50.01919155885915,-2.861547388928006e-26,0.2353846153846154,0.00011811022485730405,-0.0003091659224097043,-1.1173449750978514e-22,0.0035759007834049125,-0.009276782234143984,0.009942120248341665,-1.3167415146058466e-22
445,3.6904025999999703,102.49999591725087,212.49998124318105,24.126922115906744,50.019226354164154,-5.723094777856012e-27,0.2353846153846154,0.00013176832644390402,-0.0003439612274149795,-1.117702554059572e-22,0.003990772526573346,-0.010308458646178508,0.011053985028885513,
446,3.7043831999999384,102.50003903363401,212.50009830762144,24.126932264840004,50.019253909332434,-1.1446189555712026e-27,0.2353846153846154,0.00014191725970391644,-0.00037151639569543704,-0.4820459747314454,0.13975114760249152,-0.3166149610537057,0.3460858518045095,
447,3.706491299999925,102.50007270091339,212.50018479419052,24.126940189599615,50.01927426694023,-2.2892379111424054e-28,0.2353846153846154,0.0001498420193151162,-0.00039187400349049994,,0.2440916022905235,-0.5522898313451939,0.6038251138500765,
448,3.7202683000000434,102.54026132403206,212.5910267283328,24.13639997319524,50.040657060669105,-2.4102298736572267,0.2353846153846154,0.009609625614938722,-0.021774667732366026,,0.230031564730303,-0.5201235093697635,0.5687204812307977,
449,3.7224853999998686,102.54518724873262,212.6021557909699,24.137559460086294,50.04327667079753,-0.4820459747314454,0.2353846153846154,0.010769112505993661,-0.024394277860793068,,0.1057534820152146,-0.23926820734020465,0.2615971597745998,
450,3.7361733999998705,102.54146916020562,212.59374573485184,24.1366842792484,50.04129707297282,-0.09640919494628908,0.2353846153846154,0.009893931668099043,-0.022414680036078494,,0.08561146280232207,-0.19354392365820394,0.21163310929097567,
451,3.7383032000000185,102.53585328248305,212.58105743591022,24.135362388030625,50.03831044260656,-0.019281838989257817,0.2353846153846154,0.008572040450324891,-0.019428049669819814,,-0.15353377444716526,0.34673009376120095,0.3792022914166583,
452,3.7522561999999198,102.53010628021549,212.5680777745049,24.134009632112264,50.035255229998846,-0.0038563677978515638,0.2353846153846154,0.00721928453196341,-0.016372837062107237,-0.024094586000971082,-0.27521346072755914,0.6216558111494779,0.6798517459722782,
453,3.7547512999999526,102.52470987388688,212.5558950234602,24.13273940108414,50.03238759782987,-0.0007712735595703128,0.2353846153846154,0.005949053503840673,-0.013505204893128564,-0.004818917200190455,-0.35867416792707835,0.810198847219727,0.8860413820890967,5.859028937326861
454,3.7682442999998784,102.5198131038477,212.5448270273494,24.131586776751842,50.02978236182225,-0.00015425471191406258,0.2353846153846154,0.004796429171541661,-0.010899968885510702,-0.0009637834400354671,-0.2473426490854038,0.5586714275316492,0.6109763907033037,2.7908943194644786
455,3.7703767999998945,102.51545323018556,212.53497613549945,24.130560529566754,50.02746361343295,-3.085094238281252e-05,0.2353846153846154,0.0037701819864537356,-0.008581220496211017,-0.00019275668800674314,-0.288729699622689,0.6524695876944987,0.713499405963619,0.219422968333427
456,3.784401500000058,102.51163956792237,212.52635649115024,24.129662852141728,50.02543468176306,-6.1701884765625035e-06,0.2353846153846154,0.0028725045614272915,-0.006552288826320307,-3.855133760270368e-05,-0.19674520348332108,0.4448653980464137,0.4864297456701096,0.1282286616634988
457,3.7869438999998692,102.5083572796759,212.51892585374458,24.12889025198525,50.02368562403526,-1.2340376953125007e-06,0.2353846153846154,0.002099904404950337,-0.004803231098520655,-7.71026752132735e-06,-0.2314272999698285,0.5233484635848491,0.5722344008428252,0.007863280239898582
458,3.8002409000000625,102.50557976791703,212.51263933086778,24.12823646844816,50.022205873265804,-2.4680753906250017e-07,0.2353846153846154,0.0014461208678611115,-0.003323480329065376,-1.5420535061889526e-06,-0.14091768576179564,0.31890125994662416,0.3486485447495867,0.004393625298362211
459,3.8023450000000594,102.50326605098805,212.5074055907736,24.127691855078726,50.02097393136671,-4.9361507812500037e-08,0.2353846153846154,0.0009015074984262128,-0.0020915384299726725,-3.084107020244049e-07,-0.15690715248380852,0.35524693780101024,0.3883558179267718,0.00035538545228241643
460,3.8177926000000753,102.50138299529095,212.50313313597465,24.127248612737716,50.01996826123711,-9.872301562500008e-09,0.2353846153846154,0.0004582651574160934,-0.0010858683003718284,-6.168214005462705e-08,0.20927901958771172,0.22732566282111602,0.30898974904785037,0.00020746177643764103
461,3.8202464999999393,102.49988226310496,212.49973042754834,24.126895363469323,50.019167316022916,-1.9744603125000018e-09,0.2353846153846154,0.00010501588902300796,-0.00028492308617700246,-1.2336427092237273e-08,0.24634373809533383,0.21074257343724656,0.3241877072896745,1.2284486944659697e-05
462,3.8330237999998644,102.58277429197253,212.49710591621326,24.146406871802764,50.018549546431736,-3.9489206250000037e-10,0.2353846153846154,0.019616524222463738,0.0003328465050032037,-2.4672839313251302e-09,0.15512554501259615,0.11713645776159025,0.19438334407141938,7.000939850854147e-06
463,3.849292599999899,102.59218481444822,212.49514516191465,24.14862196401627,50.018088015035296,-7.897841250000008e-11,0.2353846153846154,0.021831616435971313,0.0007943779014425445,-4.93455299142702e-10,0.11677037508626542,0.10736367148749323,0.15862622246356836,3.4539502346783446e-07
464,3.852063600000065,102.58376855468627,212.49376233417985,24.14664090594923,50.017762518660795,-1.5795682500000018e-11,0.2353846153846154,0.019850558368929683,0.001119874275943289,-9.869184644297064e-11,-0.12853222238198542,0.05324107105085629,0.13912276534447723,8.995797185049988e-08
465,3.8650376999999025,102.57161657714813,212.49286731083987,24.143780517390255,50.017551843936154,-3.159136500000004e-12,0.2353846153846154,0.01699016980995438,0.0013305490005848242,-1.973858746883579e-11,-0.4723071776624504,0.044146787964451206,0.47436590197762707,5.20188158961241e-08
466,3.8671408000000156,102.559371810913,212.49236889680176,24.140898287799523,50.017434524939496,-6.318273000000008e-13,0.2353846153846154,0.01410794021922257,0.0014478679972427244,-3.947367239820208e-12,-0.6932733551719784,0.03689068944839554,0.694254181088879,4.6068683142739e-09
467,3.8810777999999573,102.5480136528015,212.49219851692504,24.13822475212097,50.01739442013774,-1.2636546000000016e-13,0.2353846153846154,0.011434404540668908,0.0014879727989978164,-7.891231940170925e-13,-0.582459177296477,0.012421183420203602,0.582591605684846,2.6634250003674603e-09
468,3.8835558999999193,102.53781556224823,212.49228180696565,24.13582427849843,50.01741402533192,-2.5273092000000033e-14,0.2353846153846154,0.009033930918128874,0.0014683676048221628,-1.5690595066786127e-13,-0.6520716325295721,0.0029868273121557865,0.6520784731051731,1.6381263293238325e-10
469,3.8966983000000255,102.52883446002006,212.4925543994953,24.133710265204723,50.01747818941966,-5.054618400000007e-15,0.2353846153846154,0.006919917624422567,0.0014042035170760414,-2.932563362079888e-14,-0.40202703491524544,-0.010092801188050511,0.402153703748412,9.086052831795363e-11
470,3.899916399999938,102.52106168812513,212.49297731447342,24.13188067428176,50.01757773709913,-1.0109236800000014e-15,0.2353846153846154,0.005090326701459702,0.0013046558376075268,-4.378004399994476e-15,-0.48083086139429954,-0.02316119418395999,0.48138836523664674,5.9336927771839215e-12
471,3.9128716999998687,102.51444358365238,212.49350647461443,24.130322874305868,50.0177022932554,-2.021847360000003e-16,0.2353846153846154,0.0035325267255679194,0.0011800996813420284,4.30872555583238e-17,-0.3027945696233195,-0.023710477671144554,0.3037214812040221,2.6599718189719244e-12
472,3.915095199999996,102.50890951041505,212.49409652832156,24.12902023860539,50.017841182820305,-4.043694720000006e-17,0.2353846153846154,0.002229891025088193,0.001041210116433433,-2.0956279054727653e-16,-0.35065028506201834,-0.036411244754020466,0.35253567359717214,7.464013114109472e-14
473,3.928715900000043,102.50436742276977,212.49471324951202,24.127951101051963,50.01798634950052,-8.087389440000012e-18,0.2353846153846154,0.0011607534716624457,0.0008960434362208503,-2.6009279976839664e-16,-0.24648302499387303,-0.0323195769892722,0.2485929135492316,-4.0682288727608205e-14
474,3.930861600000071,102.50071992270904,212.4953366375733,24.127092535653052,50.01813308545956,-1.6174778880000024e-18,0.2353846153846154,0.0003021880727516191,0.0007493074771787178,-2.701988016126206e-16,-0.26671916972041476,-0.04255337140963972,0.27009240069775037,-2.8545293048862585e-15
475,3.944906799999899,102.49787399618019,212.4959616923523,24.126422648331644,50.01828021373831,-3.2349557760000047e-19,0.2353846153846154,-0.0003676992486560948,0.0006021791984309743,-2.722200019814654e-16,-0.15509442407322557,-0.032020657954345895,0.15836540946316133,-1.6767927752992539e-15
476,3.9471960000000763,102.49572055898157,212.49655283153533,24.125915762344892,50.01841935880755,-6.46991155200001e-20,0.2353846153846154,-0.0008745852354081762,0.00046303412919002085,-2.726242420552344e-16,-0.16159529837129832,-0.040815347464754875,0.16667013243043158,-1.0887726712390512e-16
477,3.96036509999999,102.4941693975579,212.497101159544,24.12555064280978,50.018548426784974,-1.293982310400002e-20,0.2353846153846154,-0.0012397047705192676,0.0003339661517642867,-2.727050900699882e-16,-0.08369544360011306,-0.028727659143861228,0.08848844941180505,-6.333859668297934e-17
478,3.9625828999999158,102.49312357192366,212.49761589657544,24.125304471545107,50.018669587963146,-2.5879646208000043e-21,0.2353846153846154,-0.0014858760351934563,0.00021280497359299488,-2.7272125967293895e-16,-0.07979575468472201,-0.03530040527032545,0.08725526389825175,-4.555711100787971e-18
479,3.9762233999999808,102.49250734866939,212.49807645949542,24.125159422071413,50.01877799738892,-5.175929241600009e-22,0.2353846153846154,-0.0016309255088877705,0.0001043955478152725,-2.727244935935291e-16,-0.0354860417262804,-0.02439105294925607,0.0430602208699947,-2.605491633280851e-18
480,3.9784647999999834,102.49223885193786,212.49848914661214,24.125096222071527,50.018875137587166,-1.0351858483200019e-22,0.2353846153846154,-0.0016941255087736806,7.255349572687919e-06,-2.7272514037764712e-16,-0.026145758930757004,-0.0279782407641137,0.03829337627214364,-1.7833306132287781e-19
481,3.9922933000000285,102.49224611435164,212.49885553250266,24.125097931532004,50.018961379189086,-2.070371696640004e-23,0.2353846153846154,-0.0016924160482965078,-7.898625234759038e-05,-2.7272526973447076e-16,-0.0025899810596568683,-0.017989026936878007,0.018174517655913287,-1.0247650087870263e-19
482,3.9950129999999717,102.49246536769924,212.4991760108112,24.125149540396897,50.019036814852484,-4.140743393280008e-24,0.2353846153846154,-0.0016408071834028704,-0.00015442191574521758,-2.7272529560583547e-16,0.010276718857911395,-0.02104782945683778,0.023422682923368958,-6.419402856106143e-21
483,4.00823749999995,102.49284633765235,212.4994392358571,24.125239214862784,50.01909877397867,-8.281486786560017e-25,0.2353846153846154,-0.0015511327175161682,-0.00021638104193044683,-2.7272530078010845e-16,0.017829003443332558,-0.012982246153562667,0.02205475184566938,-3.460011266822043e-21
484,4.010410699999966,102.49334212335351,212.49965381531194,24.125355915189367,50.01914928268112,-1.6562973573120035e-25,0.2353846153846154,-0.0014344323909334378,-0.0002668897443811602,-2.7272530181496305e-16,0.031246730129097608,-0.014984279718394914,0.034653813389578896,-2.9406709909904875e-22
485,4.024444700000004,102.49391238935888,212.4998333451854,24.125490147033705,50.01919154125134,-3.312594714624007e-26,0.2353846153846154,-0.001300200546594965,-0.0003091483145993834,-2.72725302021934e-16,0.02961421604419386,-0.009840198011772596,0.031206270024196778,-1.7008588020949092e-22
486,4.0265871999999945,102.49452416362391,212.49998122447994,24.12563414928378,50.0192263497622,-6.625189429248014e-27,0.2353846153846154,-0.001156198296520472,-0.0003439568254606229,-2.7272530206332817e-16,0.04196541485590476,-0.010813945163032244,0.04333632949405453,-1.1558020210666746e-23
487,4.040254699999878,102.49515203699973,212.50009830294616,24.125781941016857,50.01925390823194,-1.3250378858496029e-27,0.2353846153846154,-0.0010084065634430317,-0.00037151529519974247,-2.7272530207160697e-16,0.03321761129554634,-0.006388867721660643,0.03382642947381359,-6.901089300529462e-24
488,4.042385599999989,102.49577249106146,212.5001847930217,24.125927986357542,50.01927426666511,-2.650075771699206e-28,0.2353846153846154,-0.0008623612227580679,-0.00039187372836835266,-2.7272530207326274e-16,0.043710892262353127,-0.0066544868131300635,0.04421452586104667,-4.686862162250957e-25
489,4.056598200000053,102.49637392415697,212.50025219190778,24.12606955445541,50.01929013132599,-5.300151543398412e-29,0.2353846153846154,-0.0007207931248913724,-0.0004077383892493458,-2.727253020735939e-16,0.0320987681929298,-0.003479627888850095,0.032286819752776905,-2.7701581551393027e-25
490,4.058753799999977,102.49694199178143,212.50029192981287,24.126203268834704,50.01929948501749,-1.0600303086796824e-29,0.2353846153846154,-0.000587078745596159,-0.00041709208075246806,-2.7272530207366013e-16,0.031318472861150026,-0.003091737529076075,0.03147070992690327,
491,4.072267199999942,102.49746738576275,212.50031330838095,24.126326938494923,50.019304517203516,-2.120060617359365e-30,0.2353846153846154,-0.000463409085377009,-0.00042212426677679105,,0.8041669310213753,-2.0211485122045327,2.175253033864091,
492,4.08862699999986,102.49794777905788,212.500318653023,24.126440015685933,50.019305775250025,-4.24012123471873e-31,0.2353846153846154,-0.00035033189436717294,-0.0004233823132864245,,0.8173695858925052,-2.0571772892145606,2.213610498530004,
