frame,t_s,x_px_filt,y_px_filt,mm_per_px,x_mm,y_mm,angle_deg_raw,angle_deg_unwrapped,angular_vel_dps,vx_mm_s,vy_mm_s,speed_mm_s
0,0.0,508.7561340332031,481.8285624186198,0.145985401459854,-0.0,0.0,100.52272324950563,0.800603723526001,1.1957078933715821,0.03496041803590458,0.008317991101131619,0.03593632987943687
1,0.0333333333333333,508.7568359375,481.81813049316406,0.145985401459854,0.001484966856346736,0.0003530217739300157,100.52416705281603,0.8508580267429351,1.594277191162109,0.0787099727131705,0.01652035410176897,0.08042500795247631
2,0.0666666666666666,508.7572387695312,481.81218872070315,0.145985401459854,0.002330694535726969,0.0005545327400754407,100.52503333480226,0.8803175830841063,1.4868383288383482,0.09055548917793853,0.017434712448236488,0.09221857631957042
3,0.1,508.7583740234375,481.7735168457031,0.145985401459854,0.00787099727131706,0.0016520354101768988,100.52503333480226,0.960031442642212,1.1769962024688714,0.09228743439610174,0.01716285456793292,0.09386977215448432
4,0.1333333333333333,508.758154296875,481.7443603515625,0.145985401459854,0.012074065223725143,0.002324628326431533,100.52156820685731,0.9988488340377808,0.6259334206581117,0.08510505933881876,0.015507988951042393,0.08650646707830298
5,0.1666666666666666,508.7580261230469,481.7214111328125,0.145985401459854,0.015381239066016959,0.002860475761322154,100.52156820685731,0.996769757270813,0.20379727363586392,0.07884074945552082,0.02081031330246813,0.08154098916774978
6,0.2,508.7582214355469,481.71937866210936,0.145985401459854,0.015669143412816534,0.002937686599103749,100.51810307891238,0.9551802635192871,-0.5240228462219235,0.002867369361489347,0.03590090341196861,0.03601522834650236
7,0.2333333333333333,508.7657775878906,481.7194885253906,0.145985401459854,0.015470819444980445,0.004022918290486796,100.51463795096743,0.9142837953567504,-1.2393685054779051,-0.05386897356910143,0.04967607450852371,0.07327740915155877
8,0.2666666666666666,508.7982543945312,481.7635070800781,0.145985401459854,0.008348892164898617,0.007635519312171661,100.31708586604464,0.8726943016052247,-1.9422397041320796,-0.08666422032857038,0.0561977113478561,0.10329022144373565
9,0.3,508.8242614746094,481.7956298828125,0.145985401459854,0.0030959029622082343,0.01060397407785215,100.31708586604464,0.7922874164581298,-2.170985898971558,-0.11060379986464705,0.08098796557069543,0.13708483180782274
